phone_id,msisdn,operator,circle,subscriber_person_id,subscriber_name_on_record,kyc_status,activation_date,deactivation_date,is_burner,imsi
PH000025,8431253612,BSNL,Delhi,P000011,Hitesh Zala,VERIFIED,2022-04-27,,0,404069876229579
PH000026,9089717331,Vi,Delhi,P000011,NOT AVAILABLE,FORGED_KYC,2022-01-30,2022-11-29,1,404042614471650
PH000027,8182969454,Jio,Delhi,P000011,Alpesh Mehta,BULK_ISSUED,2019-03-06,2019-08-13,1,404078049876209
PH000028,9324276074,Jio,Delhi,P000011,NOT AVAILABLE,UNVERIFIED,2020-02-27,2020-08-26,1,404002613534255
PH000029,9321384155,Jio,Delhi,P000011,ADDRESS INCOMPLETE,UNVERIFIED,2020-03-19,,1,404042527505688
PH000030,9207271263,Airtel,Delhi,P000011,ADDRESS INCOMPLETE,BULK_ISSUED,2021-01-26,2021-05-09,1,404029378132672
PH000031,7480193889,Vi,Maharashtra,P000012,Vishal Shinde,VERIFIED,2019-10-08,,0,404031154397815
PH000032,7066086236,Vi,Maharashtra,P000012,NOT AVAILABLE,FORGED_KYC,2018-12-21,,1,404026224789225
PH000033,8079888921,Airtel,Gujarat,P000013,Mushtaq Baig,VERIFIED,2021-03-15,,0,404027381522932
PH000034,7349384754,Airtel,Gujarat,P000013,ADDRESS INCOMPLETE,BULK_ISSUED,2025-08-13,2025-09-16,1,404064594780079
PH000035,8269837555,Jio,Gujarat,P000013,Mushtaq Baig,VERIFIED,2026-06-14,,0,404045838750077
PH000036,7372113598,Jio,Gujarat,P000013,Mushtaq Baig,VERIFIED,2018-08-11,,0,404043331569640
PH000037,9133520622,BSNL,Gujarat,P000013,Abdul Farooqui,FORGED_KYC,2022-07-20,,1,404064266331614
PH000038,7950857034,Jio,Maharashtra,P000014,Jayesh Barot,VERIFIED,2022-07-06,,0,404011761706130
PH000039,7718172035,BSNL,Maharashtra,P000014,Jayesh Barot,VERIFIED,2023-01-26,,0,404096564001915
PH000040,9778241164,Airtel,Maharashtra,P000014,NOT AVAILABLE,BULK_ISSUED,2022-06-22,,1,404011475466248
PH000041,9842116846,Jio,Maharashtra,P000014,ADDRESS INCOMPLETE,UNVERIFIED,2018-09-13,,1,404015923466521
PH000042,7835973697,Jio,Delhi,P000015,Swapnil Bhoir,VERIFIED,2023-08-04,,0,404016852531750
PH000043,7385968974,Jio,Delhi,P000015,ADDRESS INCOMPLETE,FORGED_KYC,2024-04-27,2025-05-29,1,404055095792818
PH000044,7163992416,Jio,Delhi,P000015,Swapnil Bhoir,VERIFIED,2022-05-19,,0,404019540627890
PH000045,9531121795,MTNL,Delhi,P000015,Mangesh Tandel,FORGED_KYC,2026-04-02,2026-12-30,1,404033125677250
PH000046,7650246948,Vi,Karnataka,P000016,Hardik Barot,VERIFIED,2018-05-01,,0,404012322232087
PH000047,9118082938,Vi,Karnataka,P000017,Swapnil Tandel,VERIFIED,2024-03-10,,0,404002847798258
PH000048,7353307066,BSNL,Karnataka,P000017,ADDRESS INCOMPLETE,BULK_ISSUED,2023-03-18,2023-08-30,1,404063311916119
PH000049,8531340377,MTNL,Karnataka,P000017,Swapnil Tandel,VERIFIED,2018-04-15,,0,404017037930618
PH000050,8067409201,BSNL,Maharashtra,P000018,Salim Saifi,VERIFIED,2022-02-24,,0,404075993001341
PH000051,8509144654,MTNL,Maharashtra,P000018,Anwar Khan,FORGED_KYC,2026-04-10,2027-03-13,1,404004004645497
PH000052,9463103231,MTNL,Gujarat,P000019,Bhaskar Bhosale,VERIFIED,2023-05-25,,0,404076702546168
PH000053,8692441832,MTNL,Gujarat,P000019,Sagar Jadhav,UNVERIFIED,2022-04-05,2023-03-15,1,404024479297591
PH000054,7900946584,BSNL,Gujarat,P000019,Amol Dalvi,BULK_ISSUED,2021-05-11,,1,404048878073767
PH000055,9276633542,Jio,Delhi,P000020,Nitin Bhoir,VERIFIED,2021-10-10,,0,404050953072772
PH000056,8858870894,Airtel,Delhi,P000020,Nitin Bhoir,VERIFIED,2019-08-09,,0,404066036698027
PH000057,9094350079,BSNL,Delhi,P000020,Nitin Bhoir,VERIFIED,2020-12-18,,0,404016537778424
PH000058,7220339059,BSNL,Karnataka,P000021,Kishor Makwana,VERIFIED,2024-08-14,,0,404066942394383
PH000059,9828846377,Airtel,Karnataka,P000021,ADDRESS INCOMPLETE,UNVERIFIED,2025-07-31,,1,404003027721793
PH000060,7567992448,Airtel,Karnataka,P000021,NOT AVAILABLE,BULK_ISSUED,2022-01-05,2022-05-01,1,404077938894912
PH000061,9631370017,Vi,Karnataka,P000022,Nasreen Sheikh,VERIFIED,2022-02-21,,0,404093175607302
PH000062,8433970101,Vi,Karnataka,P000022,Nasreen Sheikh,VERIFIED,2025-11-08,,0,404092621892240
PH000063,8866025143,Vi,Karnataka,P000022,NOT AVAILABLE,UNVERIFIED,2020-05-04,2021-05-08,1,404011800450153
PH000064,7816981420,BSNL,Gujarat,P000023,Hardik Barot,VERIFIED,2018-06-26,,0,404068170068143
PH000065,7797661054,Jio,Gujarat,P000023,Hardik Barot,VERIFIED,2019-09-24,,0,404071500760175
PH000066,9978428455,BSNL,Gujarat,P000023,ADDRESS INCOMPLETE,BULK_ISSUED,2026-04-30,2026-12-30,1,404067706672192
PH000067,7830921527,Airtel,Gujarat,P000023,ADDRESS INCOMPLETE,FORGED_KYC,2020-08-10,,1,404036740891205
PH000068,9702536873,Airtel,Delhi,P000024,Bharat Gohil,VERIFIED,2026-05-15,,0,404009225450806
PH000069,9638718341,Jio,Delhi,P000024,NOT AVAILABLE,UNVERIFIED,2022-12-04,,1,404058484393004
PH000070,8797064937,Vi,Delhi,P000024,NOT AVAILABLE,UNVERIFIED,2021-07-06,2022-07-18,1,404079058304702
PH000071,8113005019,MTNL,Delhi,P000024,NOT AVAILABLE,UNVERIFIED,2018-04-07,2018-09-03,1,404073880842740
PH000072,7189514631,MTNL,Karnataka,P000025,Ganesh Chavan,VERIFIED,2024-03-10,,0,404079897633023
PH000073,8631960250,MTNL,Karnataka,P000025,Mangesh Mhatre,UNVERIFIED,2020-05-10,2021-02-14,1,404000438666847
PH000074,8457896636,MTNL,Karnataka,P000025,Sachin Sawant,UNVERIFIED,2019-09-18,,1,404038088233097
PH000075,7977075186,Airtel,Karnataka,P000025,Ganesh Chavan,VERIFIED,2024-07-06,,0,404010986367828
PH000076,8606664059,MTNL,Maharashtra,P000026,Hitesh Trivedi,VERIFIED,2020-06-05,,0,404074308780378
PH000077,8310356574,MTNL,Gujarat,P000027,Vishal Gaikwad,VERIFIED,2024-04-25,,0,404008437149262
PH000078,7101266460,MTNL,Gujarat,P000027,Vishal Gaikwad,VERIFIED,2018-01-17,,0,404061490910091
PH000079,8350534774,Jio,Delhi,P000028,Alpesh Thakor,VERIFIED,2021-10-18,,0,404016028595388
PH000080,8820415528,Airtel,Delhi,P000028,Chirag Shah,UNVERIFIED,2024-09-21,2025-03-17,1,404043032977444
PH000081,7957867404,BSNL,Delhi,P000028,Alpesh Thakor,VERIFIED,2019-08-19,,0,404072464972834
PH000082,9810099784,Vi,Delhi,P000028,Alpesh Thakor,VERIFIED,2022-08-07,,0,404029829931642
PH000083,8033317931,Airtel,Gujarat,P000029,Ashwin Zala,VERIFIED,2019-02-09,,0,404047561961765
PH000084,8664995870,Jio,Gujarat,P000029,ADDRESS INCOMPLETE,FORGED_KYC,2018-03-25,2018-12-20,1,404053806319053
PH000085,7587927462,Airtel,Gujarat,P000029,Ashwin Zala,VERIFIED,2022-04-19,,0,404068975311524
PH000086,8457931444,MTNL,Gujarat,P000029,ADDRESS INCOMPLETE,BULK_ISSUED,2023-07-09,,1,404096459624384
PH000087,7700971547,Vi,Delhi,P000030,Rahul Jadhav,VERIFIED,2023-08-20,,0,404095013367211
PH000088,7582464913,BSNL,Delhi,P000030,NOT AVAILABLE,FORGED_KYC,2026-03-17,2026-12-31,1,404094231596378
PH000089,9313690047,MTNL,Delhi,P000030,NOT AVAILABLE,BULK_ISSUED,2025-05-01,2026-02-02,1,404044940581519
PH000090,8811926890,Jio,Delhi,P000030,Rahul Jadhav,VERIFIED,2019-09-30,,0,404098606814416
PH000091,8759426823,MTNL,Karnataka,P000031,Vipul Desai,VERIFIED,2025-10-27,,0,404055434482138
PH000092,8941513985,Vi,Karnataka,P000031,Chirag Parmar,UNVERIFIED,2021-07-07,2022-02-14,1,404050839731752
PH000093,9221395796,Vi,Karnataka,P000031,ADDRESS INCOMPLETE,FORGED_KYC,2026-01-17,2026-06-09,1,404073350064558
PH000094,9840782862,Vi,Karnataka,P000031,Vipul Desai,VERIFIED,2023-10-25,,0,404058729370625
PH000095,9160699399,Vi,Gujarat,P000032,Rasik Joshi,VERIFIED,2023-01-08,,0,404051068382921
PH000096,8875684218,Jio,Karnataka,P000033,Arif Chaudhary,VERIFIED,2018-07-11,,0,404080187472913
PH000097,7960302312,Jio,Karnataka,P000033,Zubair Chaudhary,UNVERIFIED,2022-05-02,,1,404004232758881
PH000098,7790363857,Vi,Maharashtra,P000034,Mohammed Idrisi,VERIFIED,2022-08-27,,0,404033919580008
PH000099,9246831465,Jio,Maharashtra,P000034,Altaf Khan,BULK_ISSUED,2025-08-24,2025-10-25,1,404045584642018
PH000100,7620165198,MTNL,Maharashtra,P000034,Mohammed Idrisi,VERIFIED,2024-09-14,,0,404090609175075
PH000101,9677504616,Airtel,Maharashtra,P000034,Mohammed Idrisi,VERIFIED,2024-06-27,,0,404028439656887
PH000102,8053134176,Airtel,Gujarat,P000035,Sachin Bhosale,VERIFIED,2019-12-12,,0,404028095417540
PH000103,7882817393,Airtel,Gujarat,P000035,ADDRESS INCOMPLETE,FORGED_KYC,2023-01-14,2023-11-06,1,404008296561206
PH000104,9656250845,Jio,Gujarat,P000035,Sagar Chavan,BULK_ISSUED,2022-08-02,2023-05-28,1,404099257099286
PH000105,7343825520,Airtel,Gujarat,P000035,NOT AVAILABLE,UNVERIFIED,2021-11-11,,1,404091819805283
PH000106,8443738013,Jio,Karnataka,P000036,Shahnaz Alam,VERIFIED,2022-10-19,,0,404084341357168
PH000107,7073478735,Vi,Karnataka,P000036,NOT AVAILABLE,UNVERIFIED,2019-03-22,2019-07-02,1,404064731168859
PH000108,7427818155,Airtel,Delhi,P000037,Ganesh Dalvi,VERIFIED,2026-03-02,,0,404092588302136
PH000109,9978760287,Vi,Delhi,P000037,Sachin Mhatre,UNVERIFIED,2025-04-23,2025-06-14,1,404048810503916
PH000110,7241280447,Jio,Delhi,P000038,Tushar Zala,VERIFIED,2022-04-29,,0,404020836248748
PH000111,8317327760,BSNL,Delhi,P000038,ADDRESS INCOMPLETE,FORGED_KYC,2023-01-12,,1,404036899065741
PH000112,9866337561,MTNL,Delhi,P000038,Tushar Zala,VERIFIED,2020-10-25,,0,404045357777859
PH000113,8614336975,BSNL,Gujarat,P000039,Sagar Rane,VERIFIED,2025-11-16,,0,404055460683426
PH000114,7999696608,Jio,Gujarat,P000039,NOT AVAILABLE,BULK_ISSUED,2023-11-20,,1,404080414036348
PH000115,9837902293,Jio,Gujarat,P000039,Vishal Chavan,FORGED_KYC,2019-07-20,2020-05-18,1,404021345579990
PH000116,9787230636,Vi,Gujarat,P000039,Tanaji Bhoir,UNVERIFIED,2021-11-04,,1,404015104136777
PH000117,7872874075,Jio,Maharashtra,P000040,Shahnawaz Pathan,VERIFIED,2018-09-07,,0,404093914603782
PH000118,9605365045,BSNL,Karnataka,P000041,Pandurang Bhoir,VERIFIED,2025-07-24,,0,404086969001923
PH000119,9623465546,Jio,Delhi,P000042,Trupti Rabari,VERIFIED,2025-02-28,,0,404020384672644
PH000120,9891435354,Airtel,Delhi,P000042,Ashwin Dave,BULK_ISSUED,2024-10-01,2025-07-04,1,404060781384751
PH000121,9032926205,Vi,Maharashtra,P000043,Bharat Dave,VERIFIED,2025-02-09,,0,404055628497565
PH000122,7793994310,MTNL,Maharashtra,P000043,ADDRESS INCOMPLETE,BULK_ISSUED,2025-10-03,,1,404085787828095
PH000123,8483018986,Vi,Maharashtra,P000043,Bharat Dave,VERIFIED,2023-09-19,,0,404098460745625
PH000124,7408313001,BSNL,Gujarat,P000044,Hitesh Solanki,VERIFIED,2021-10-31,,0,404018321529007
PH000125,9243086042,MTNL,Gujarat,P000044,Hitesh Solanki,VERIFIED,2022-04-19,,0,404031672324644
PH000126,7777889214,Jio,Gujarat,P000044,Tushar Mehta,FORGED_KYC,2018-07-17,2019-06-26,1,404072908479801
PH000127,9065857579,Jio,Gujarat,P000044,NOT AVAILABLE,BULK_ISSUED,2026-03-29,2026-12-07,1,404075947910999
PH000128,7986523080,Vi,Gujarat,P000044,Hitesh Solanki,VERIFIED,2026-04-29,,0,404053343049820
PH000129,9967371107,Jio,Gujarat,P000045,Dharmesh Zala,VERIFIED,2018-12-16,,0,404068686464147
PH000130,7674252577,BSNL,Gujarat,P000045,ADDRESS INCOMPLETE,BULK_ISSUED,2024-10-21,2025-04-25,1,404077395166032
PH000131,7987092951,BSNL,Gujarat,P000046,Sandip Kamble,VERIFIED,2023-12-04,,0,404028908454826
PH000132,7558128766,Airtel,Gujarat,P000046,NOT AVAILABLE,FORGED_KYC,2020-04-22,,1,404097447652246
PH000133,8551713528,Vi,Gujarat,P000046,ADDRESS INCOMPLETE,UNVERIFIED,2021-09-18,2021-11-06,1,404005005745807
PH000134,9131276078,Airtel,Gujarat,P000046,ADDRESS INCOMPLETE,UNVERIFIED,2023-02-26,2023-12-17,1,404082245248816
PH000135,9923865626,Jio,Maharashtra,P000047,Swapnil Pawar,VERIFIED,2019-06-15,,0,404008059801888
PH000136,9937828687,Airtel,Maharashtra,P000047,Swapnil Pawar,VERIFIED,2018-01-01,,0,404020307108169
PH000137,8466215415,Jio,Maharashtra,P000047,Swapnil Pawar,VERIFIED,2020-04-19,,0,404098070272929
PH000138,8335834926,Airtel,Maharashtra,P000047,Swapnil Pawar,VERIFIED,2019-09-26,,0,404089874955910
PH000139,8309577248,BSNL,Delhi,P000048,Tanaji Tandel,VERIFIED,2025-10-15,,0,404074763083572
PH000140,9500634741,MTNL,Delhi,P000048,Tanaji Tandel,VERIFIED,2024-12-06,,0,404004202230597
PH000141,9428765755,Vi,Delhi,P000048,ADDRESS INCOMPLETE,UNVERIFIED,2020-05-29,,1,404085685066487
PH000142,9798592714,Airtel,Delhi,P000049,Bhavesh Thakor,VERIFIED,2024-02-13,,0,404069474934768
PH000143,7287764580,MTNL,Delhi,P000049,Dharmesh Chauhan,BULK_ISSUED,2023-09-03,2024-09-29,1,404065217900531
PH000144,7902845958,BSNL,Delhi,P000049,NOT AVAILABLE,UNVERIFIED,2022-02-26,,1,404091268130783
PH000145,8164162987,Jio,Karnataka,P000050,Pandurang Deshmukh,VERIFIED,2020-05-02,,0,404025215143517
PH000146,9348526023,Vi,Karnataka,P000050,Vishal Mhatre,FORGED_KYC,2022-04-11,2023-05-04,1,404040553061139
PH000147,8552340870,Vi,Karnataka,P000050,ADDRESS INCOMPLETE,FORGED_KYC,2025-05-11,,1,404035556385981
PH000148,7986980055,BSNL,Karnataka,P000050,ADDRESS INCOMPLETE,FORGED_KYC,2020-12-03,2021-07-30,1,404079266094044
PH000149,7543023200,Jio,Delhi,P000051,Bhaskar Gaikwad,VERIFIED,2026-04-12,,0,404013278928243
PH000150,9235329561,BSNL,Delhi,P000051,Bhaskar Gaikwad,VERIFIED,2023-06-24,,0,404062948467640
PH000151,7661408307,Jio,Delhi,P000051,Nitin Naik,FORGED_KYC,2024-09-07,2025-03-26,1,404060273156726
PH000152,7065432614,Airtel,Delhi,P000052,Vishal Jadhav,VERIFIED,2020-03-24,,0,404040371524310
PH000153,7095312252,BSNL,Delhi,P000052,NOT AVAILABLE,UNVERIFIED,2022-08-12,,1,404078706764428
PH000154,9107810101,Airtel,Delhi,P000052,Vishal Jadhav,VERIFIED,2020-08-11,,0,404044805694211
PH000155,8094925434,Vi,Gujarat,P000053,Mangesh Shinde,VERIFIED,2021-06-06,,0,404002664273869
PH000156,9810512927,Airtel,Gujarat,P000053,Mangesh Shinde,VERIFIED,2021-02-14,,0,404043067779836
PH000157,7808935133,Jio,Gujarat,P000053,ADDRESS INCOMPLETE,FORGED_KYC,2018-02-17,2018-05-11,1,404008236616201
PH000158,8012660869,BSNL,Gujarat,P000053,Mangesh Shinde,VERIFIED,2019-09-11,,0,404011084039092
PH000159,8455004375,Airtel,Maharashtra,P000054,Dharmesh Shah,VERIFIED,2019-05-03,,0,404015752295083
PH000160,7290764449,Jio,Gujarat,P000055,Ibrahim Mirza,VERIFIED,2019-04-12,,0,404043946162227
PH000161,7054026028,Vi,Gujarat,P000055,Ibrahim Mirza,VERIFIED,2019-06-26,,0,404065592189568
PH000162,9739745391,MTNL,Gujarat,P000055,Abdul Pathan,BULK_ISSUED,2020-10-21,,1,404048761444337
PH000163,9708575379,Vi,Gujarat,P000055,Naseer Shaikh,FORGED_KYC,2025-03-23,,1,404083429002492
PH000164,8614742507,Vi,Maharashtra,P000056,Swapnil Salunkhe,VERIFIED,2020-03-27,,0,404038203950078
PH000165,7657603673,Airtel,Maharashtra,P000056,NOT AVAILABLE,FORGED_KYC,2021-09-25,2022-03-23,1,404047415163295
PH000166,7572477115,BSNL,Karnataka,P000057,Sagar Bhoir,VERIFIED,2020-03-27,,0,404087378156162
PH000167,8673140319,Jio,Karnataka,P000057,NOT AVAILABLE,BULK_ISSUED,2022-03-29,2023-04-27,1,404016246988967
PH000168,8492247686,BSNL,Karnataka,P000057,Nitin Kamble,UNVERIFIED,2026-04-05,2026-09-26,1,404071489579257
PH000169,8980093413,BSNL,Karnataka,P000057,Sagar Bhoir,VERIFIED,2020-02-27,,0,404034542471155
PH000170,8881063267,Airtel,Karnataka,P000058,Alpesh Shah,VERIFIED,2026-01-25,,0,404092060429429
PH000171,7874350697,MTNL,Karnataka,P000058,ADDRESS INCOMPLETE,BULK_ISSUED,2018-11-09,,1,404038721120382
PH000172,9690150595,Vi,Karnataka,P000058,Alpesh Shah,VERIFIED,2020-02-26,,0,404076168068030
PH000173,8801680115,Airtel,Karnataka,P000059,Bharat Bhatt,VERIFIED,2022-06-18,,0,404060964394534
PH000174,8301535305,Airtel,Karnataka,P000059,NOT AVAILABLE,BULK_ISSUED,2019-06-01,,1,404024888804970
PH000175,7148541234,MTNL,Gujarat,P000060,Rasik Vaghela,VERIFIED,2023-07-18,,0,404010945255396
PH000176,9665567323,MTNL,Gujarat,P000061,Amol Tandel,VERIFIED,2022-09-16,,0,404036841434462
PH000177,7703024130,Jio,Karnataka,P000062,Dattatray Tandel,VERIFIED,2019-07-16,,0,404011314644214
PH000178,9105592277,Jio,Karnataka,P000062,Dattatray Tandel,VERIFIED,2023-08-19,,0,404026049769799
PH000179,8864113507,BSNL,Karnataka,P000062,ADDRESS INCOMPLETE,UNVERIFIED,2023-01-17,2024-01-10,1,404072763396800
PH000180,8005220112,BSNL,Karnataka,P000062,Dattatray Tandel,VERIFIED,2024-11-27,,0,404004225933238
PH000181,7878750805,BSNL,Gujarat,P000063,Dattatray Tandel,VERIFIED,2023-01-01,,0,404011784440027
PH000182,7843793666,Jio,Gujarat,P000063,Dattatray Tandel,VERIFIED,2024-10-03,,0,404044867118816
PH000183,9029856724,Jio,Maharashtra,P000064,Rafiq Ahmed,VERIFIED,2024-08-04,,0,404055525177485
PH000184,9443742822,Jio,Maharashtra,P000064,Javed Siddiqui,UNVERIFIED,2025-04-16,,1,404010649607265
PH000185,8309673725,Jio,Maharashtra,P000064,Abdul Farooqui,FORGED_KYC,2025-09-13,2026-05-22,1,404019569320506
PH000186,9360176787,Airtel,Delhi,P000065,Shahnawaz Mansuri,VERIFIED,2021-04-15,,0,404088011130529
PH000187,7437750448,Jio,Delhi,P000065,ADDRESS INCOMPLETE,FORGED_KYC,2020-06-30,,1,404044896846041
PH000188,9355427933,MTNL,Delhi,P000065,Shahnawaz Mansuri,VERIFIED,2022-09-09,,0,404097021461690
PH000189,8965441904,Airtel,Delhi,P000065,Shahnawaz Mansuri,VERIFIED,2018-10-26,,0,404077029670503
PH000190,9692668668,Jio,Karnataka,P000066,Ashfaq Mansuri,VERIFIED,2025-02-16,,0,404080795653000
PH000191,9104709280,Airtel,Karnataka,P000066,Shakeel Saifi,UNVERIFIED,2022-02-02,2022-09-14,1,404021374727939
PH000192,9795427629,Airtel,Karnataka,P000066,NOT AVAILABLE,BULK_ISSUED,2022-07-28,2023-01-01,1,404098324072819
PH000193,9161809809,MTNL,Karnataka,P000066,Ashfaq Mansuri,VERIFIED,2019-03-06,,0,404080409336272
PH000194,7669851676,Vi,Maharashtra,P000067,Pandurang Mhatre,VERIFIED,2018-08-11,,0,404059991966976
PH000195,8895143704,Airtel,Maharashtra,P000067,NOT AVAILABLE,BULK_ISSUED,2020-03-19,,1,404016263177744
PH000196,7397381903,Vi,Maharashtra,P000067,Tanaji Kadam,UNVERIFIED,2020-02-01,2021-01-11,1,404051029583850
PH000197,8931453651,Airtel,Gujarat,P000068,Reshma Saifi,VERIFIED,2022-02-21,,0,404038613674616
PH000198,7770736712,BSNL,Gujarat,P000068,Reshma Saifi,VERIFIED,2021-07-29,,0,404047069531217
PH000199,8185991977,BSNL,Maharashtra,P000069,Sarfaraz Qureshi,VERIFIED,2021-06-18,,0,404038586922543
PH000200,7271653595,Vi,Maharashtra,P000069,NOT AVAILABLE,UNVERIFIED,2022-09-21,2022-11-24,1,404006989582948
PH000201,8230779975,Jio,Gujarat,P000070,Ashwin Trivedi,VERIFIED,2020-10-27,,0,404009065194072
PH000202,8104117082,MTNL,Gujarat,P000070,Ashwin Trivedi,VERIFIED,2021-02-22,,0,404022092513900
PH000203,9314747299,Jio,Gujarat,P000070,Ashwin Trivedi,VERIFIED,2018-07-03,,0,404055523783904
PH000204,8783697025,BSNL,Maharashtra,P000071,Chirag Desai,VERIFIED,2019-09-24,,0,404095356441193
PH000205,7517759902,Vi,Delhi,P000072,Jayesh Desai,VERIFIED,2020-02-13,,0,404049839103204
PH000206,7519295909,MTNL,Maharashtra,P000073,Iqbal Mansuri,VERIFIED,2022-06-18,,0,404044147537637
PH000207,9948586476,BSNL,Maharashtra,P000073,Iqbal Mansuri,VERIFIED,2019-12-20,,0,404095577051865
PH000208,8345115905,MTNL,Maharashtra,P000073,NOT AVAILABLE,BULK_ISSUED,2023-03-16,,1,404070426469795
PH000209,8963360989,Jio,Karnataka,P000074,Ashwin Parmar,VERIFIED,2018-11-22,,0,404005045961974
PH000210,7535120945,MTNL,Gujarat,P000075,Nisha Zala,VERIFIED,2019-05-25,,0,404069157349438
PH000211,8559849138,BSNL,Gujarat,P000075,Nisha Zala,VERIFIED,2022-09-30,,0,404087018811133
PH000212,7614324170,BSNL,Gujarat,P000075,Nisha Zala,VERIFIED,2025-07-01,,0,404012787963387
PH000213,7232208220,Vi,Gujarat,P000075,Nisha Zala,VERIFIED,2018-06-17,,0,404048435197881
PH000214,9052979685,Vi,Karnataka,P000076,Divyesh Shah,VERIFIED,2019-10-27,,0,404062116700620
PH000215,8466453629,Airtel,Karnataka,P000076,Divyesh Shah,VERIFIED,2019-06-28,,0,404013501134496
PH000216,7677727154,Airtel,Karnataka,P000077,Dharmesh Thakor,VERIFIED,2023-11-29,,0,404024125038341
PH000217,9920741975,Airtel,Karnataka,P000077,ADDRESS INCOMPLETE,FORGED_KYC,2020-01-10,,1,404063239988773
PH000218,7675582632,Jio,Karnataka,P000077,NOT AVAILABLE,FORGED_KYC,2019-02-02,2019-11-15,1,404008858998181
PH000219,8116650180,Jio,Karnataka,P000078,Prashant Deshmukh,VERIFIED,2023-07-13,,0,404054402776012
PH000220,7036685743,MTNL,Karnataka,P000078,ADDRESS INCOMPLETE,UNVERIFIED,2021-10-22,2021-11-23,1,404071845816302
PH000221,7663725112,MTNL,Karnataka,P000078,Prashant Deshmukh,VERIFIED,2018-11-15,,0,404080310262370
PH000222,9152292546,Vi,Karnataka,P000078,NOT AVAILABLE,FORGED_KYC,2023-02-05,2023-05-20,1,404016914559036
PH000223,7764548759,BSNL,Maharashtra,P000079,Rasik Trivedi,VERIFIED,2021-12-13,,0,404099742542904
PH000224,8585078672,Vi,Maharashtra,P000079,ADDRESS INCOMPLETE,FORGED_KYC,2023-05-10,2024-03-19,1,404058086789451
PH000225,9824671999,Airtel,Maharashtra,P000079,Rasik Trivedi,VERIFIED,2024-10-03,,0,404075237100295
PH000226,8037007001,Jio,Gujarat,P000080,Kalpesh Zala,VERIFIED,2018-01-14,,0,404022212683905
PH000227,9527665484,Airtel,Delhi,P000081,Sandip Salunkhe,VERIFIED,2020-05-30,,0,404074946454030
PH000228,9494538823,Airtel,Delhi,P000081,NOT AVAILABLE,BULK_ISSUED,2019-02-15,2019-08-16,1,404033566822896
