vehicle_id,registration_no,make,model,colour,vehicle_class,registered_state,owner_person_id,owner_name_on_record,registration_date,is_fake_plate,chassis_tampered
VEH000039,RJ02 UM 8634,Bajaj,Pulsar 220,Blue,TWO_WHEELER,Rajasthan,P000114,Gayatri Jat,2025-10-16,0,0
VEH000040,DL13 XC 9277,Eicher,Pro 2049,Black,COMMERCIAL,Delhi,P000115,Nirmal Singh,2022-07-31,0,0
VEH000041,PB10 EI 4864,Toyota,Etios,White,LMV,Punjab,P000117,Nathu Choudhary,2019-08-15,0,0
VEH000042,RJ05 FH 8183,Maruti Suzuki,Eeco,Red,LMV,Rajasthan,P000118,Bikramjit Sidhu,2020-09-09,0,0
VEH000043,DL02 SS 5508,Honda,Amaze,Grey,LMV,Delhi,P000119,Faizan Alam,2018-06-11,0,0
VEH000044,DL07 EO 6774,Hero,Splendor Plus,Grey,TWO_WHEELER,Delhi,P000127,Nadeem Mirza,2022-07-01,0,0
VEH000045,HR55 SE 7809,Mahindra,Pick-Up,Silver,LMV,Haryana,P000130,THIRD PARTY,2017-10-20,0,0
VEH000046,PB10 UZ 9340,Eicher,Pro 2049,White,COMMERCIAL,Punjab,P000132,THIRD PARTY,2020-09-05,0,0
VEH000047,PB10 WT 6355,Hero,HF Deluxe,Blue,TWO_WHEELER,Punjab,P000135,Karni Meena,2012-11-25,1,0
VEH000048,JK02 PI 0850,Toyota,Etios,Grey,LMV,Jammu and Kashmir,P000142,THIRD PARTY,2026-01-09,0,0
VEH000049,PB11 JX 7830,Eicher,Pro 2049,Red,COMMERCIAL,Punjab,P000143,THIRD PARTY,2019-06-16,1,0
VEH000050,PB10 RE 3506,Tata,Harrier,Grey,LMV,Punjab,P000145,Nirmal Singh,2014-05-19,0,0
VEH000051,JK01 YE 7049,Tata,Sumo,Silver,LMV,Jammu and Kashmir,P000147,THIRD PARTY,2015-09-05,0,0
VEH000052,RJ05 GW 0150,Mahindra,Pick-Up,Blue,LMV,Rajasthan,P000152,THIRD PARTY,2015-06-25,0,1
VEH000053,JK02 UI 4850,Honda,City,Blue,LMV,Jammu and Kashmir,P000154,Nadeem Farooqui,2021-09-01,1,0
VEH000054,HR38 FT 5019,Tata,407,Maroon,LMV,Haryana,P000161,Mohan Sisodia,2013-06-02,0,0
VEH000055,HR20 AM 4813,Bajaj,Pulsar 150,Black,TWO_WHEELER,Haryana,P000175,Rajesh Prajapati,2016-01-30,0,0
VEH000056,WB24 AP 0287,Royal Enfield,Classic 350,Maroon,TWO_WHEELER,West Bengal,P000179,THIRD PARTY,2015-05-17,1,0
VEH000057,BR11 DQ 6709,Hyundai,Venue,Red,LMV,Bihar,P000180,Sukumar Biswas,2023-03-03,1,1
VEH000058,JH13 HX 4026,Hero,Splendor Plus,Maroon,TWO_WHEELER,Jharkhand,P000182,Iqbal Pathan,2015-04-09,0,0
VEH000059,HR26 WY 1995,Hyundai,Creta,Blue,LMV,Haryana,P000186,Netrapal Rathore,2014-08-02,0,0
VEH000060,DL13 IQ 1906,Honda,City,Black,LMV,Delhi,P000187,Naresh Jaiswal,2026-03-15,0,0
VEH000061,UP16 AS 9578,Hero,Splendor Plus,Red,TWO_WHEELER,Uttar Pradesh,P000189,Pradip Roy,2024-03-04,1,0
VEH000062,UP80 ZT 9289,Mahindra,Thar,Blue,LMV,Uttar Pradesh,P000200,Kavita Dubey,2018-05-28,0,0
VEH000063,UP32 YV 3222,Royal Enfield,Himalayan,Grey,TWO_WHEELER,Uttar Pradesh,P000202,Sujoy Das,2014-10-10,0,0
VEH000064,DL08 QN 2342,Tata,Safari,Silver,LMV,Delhi,P000204,Jagdish Rajput,2019-01-25,0,1
VEH000065,BR01 UP 0737,Eicher,Pro 2049,Grey,COMMERCIAL,Bihar,P000205,Anup Adhikari,2024-07-27,1,0
VEH000066,UP15 CQ 8906,Bajaj,Pulsar 220,Black,TWO_WHEELER,Uttar Pradesh,P000207,Mahesh Sharma,2020-01-09,0,0
VEH000067,BR09 TW 3121,Tata,Safari,Black,LMV,Bihar,P000208,Mushtaq Rahman,2013-07-27,0,0
VEH000068,HR51 UQ 1007,Honda,Amaze,Maroon,LMV,Haryana,P000215,THIRD PARTY,2026-03-22,0,0
VEH000069,HR20 JK 5290,Maruti Suzuki,Eeco,White,LMV,Haryana,P000217,Vinod Sharma,2026-04-19,1,0
VEH000070,UP32 DO 5017,Hero,HF Deluxe,Black,TWO_WHEELER,Uttar Pradesh,P000222,Prakash Srivastava,2020-04-29,0,0
VEH000071,HR20 EZ 0726,Bajaj,Pulsar 220,Maroon,TWO_WHEELER,Haryana,P000224,THIRD PARTY,2017-12-18,0,0
VEH000072,UP50 OX 6236,Toyota,Etios,Blue,LMV,Uttar Pradesh,P000225,Arindam Gayen,2021-09-03,0,0
VEH000073,DL02 QS 3016,Hero,Splendor Plus,Blue,TWO_WHEELER,Delhi,P000234,Faizan Shaikh,2022-03-10,0,0
VEH000074,HR51 PO 5947,Hero,Passion Pro,Silver,TWO_WHEELER,Haryana,P000235,THIRD PARTY,2022-12-09,0,0
VEH000075,KA32 DZ 6309,Hyundai,i20,Grey,LMV,Karnataka,P000236,Shyamlal Rajput,2021-12-03,1,0
VEH000076,KA32 EO 2870,Ashok Leyland,Dost,Silver,COMMERCIAL,Karnataka,P000237,Tapan Sardar,2012-11-03,0,0
VEH000077,BR33 FK 5693,Maruti Suzuki,Swift,Red,LMV,Bihar,P000238,THIRD PARTY,2012-09-06,0,0
VEH000078,UP80 TQ 3229,Eicher,Pro 2049,Blue,COMMERCIAL,Uttar Pradesh,P000247,THIRD PARTY,2014-01-10,0,1
VEH000079,KA41 FR 1595,Tata,Safari,Black,LMV,Karnataka,P000251,Javed Chaudhary,2013-12-21,0,0
VEH000080,HR38 SN 3899,Mahindra,Pick-Up,Grey,LMV,Haryana,P000255,Lekhraj Dixit,2014-11-04,0,0
VEH000081,WB24 ZK 8064,Hyundai,Creta,Blue,LMV,West Bengal,P000256,Mahesh Verma,2019-12-19,0,0
VEH000082,UP14 OD 8349,Hyundai,Venue,Blue,LMV,Uttar Pradesh,P000260,Gautam Adhikari,2015-11-16,1,0
VEH000083,KA19 AB 7694,Hyundai,i20,Blue,LMV,Karnataka,P000262,Ibrahim Ansari,2025-01-15,0,1
VEH000084,KA19 PY 2427,Honda,Amaze,Silver,LMV,Karnataka,P000273,Sukumar Chakraborty,2022-06-16,0,0
VEH000085,BR09 IX 0554,Honda,Amaze,Silver,LMV,Bihar,P000276,Sunil Rajput,2014-06-21,0,1
VEH000086,WB73 MX 8625,Mahindra,Scorpio,Maroon,LMV,West Bengal,P000278,Ramesh Shukla,2023-03-22,0,0
VEH000087,BR11 BO 1775,Hero,HF Deluxe,Black,TWO_WHEELER,Bihar,P000279,THIRD PARTY,2012-12-07,0,0
VEH000088,DL08 MR 2072,Hyundai,Venue,Blue,LMV,Delhi,P000280,THIRD PARTY,2025-04-14,0,0
VEH000089,WB02 ST 5210,Bajaj,Pulsar 220,Grey,TWO_WHEELER,West Bengal,P000284,THIRD PARTY,2020-03-21,0,0
VEH000090,DL01 VA 5067,Ashok Leyland,Boss,Blue,COMMERCIAL,Delhi,P000285,THIRD PARTY,2023-10-27,0,0
VEH000091,BR11 SJ 0948,Hero,HF Deluxe,White,TWO_WHEELER,Bihar,P000287,Mahesh Maurya,2015-08-12,1,0
VEH000092,WB06 VA 4844,Bajaj,Pulsar 150,Maroon,TWO_WHEELER,West Bengal,P000289,Netrapal Dixit,2021-02-15,0,0
VEH000093,WB57 KK 2617,Hero,Splendor Plus,Red,TWO_WHEELER,West Bengal,P000291,THIRD PARTY,2015-07-29,0,0
VEH000094,TS10 SA 7280,Mahindra,Thar,Red,LMV,Telangana,P000293,Har Prasad Sharma,2018-12-16,0,0
VEH000095,TN09 UP 1513,Maruti Suzuki,Brezza,Silver,LMV,Tamil Nadu,P000302,Biju Thomas,2025-08-30,0,0
VEH000096,WB02 WI 2071,Hyundai,i20,White,LMV,West Bengal,P000303,THIRD PARTY,2020-04-18,0,0
VEH000097,WB73 PY 5595,Hyundai,Santro,Silver,LMV,West Bengal,P000308,THIRD PARTY,2024-05-10,0,0
VEH000098,TN01 RE 3006,Hero,HF Deluxe,Red,TWO_WHEELER,Tamil Nadu,P000309,Jignesh Thakor,2023-10-19,0,0
VEH000099,WB20 CV 2858,Toyota,Etios,White,LMV,West Bengal,P000316,Jitendra Solanki,2012-08-16,0,0
VEH000100,DL07 UL 9094,Mahindra,Thar,Silver,LMV,Delhi,P000317,Nishad Panicker,2020-03-18,0,0
VEH000101,TS08 UP 9163,Maruti Suzuki,Dzire,Blue,LMV,Telangana,P000322,Mushtaq Idrisi,2016-07-24,0,0
VEH000102,GJ27 UU 0520,Eicher,Pro 3015,Silver,COMMERCIAL,Gujarat,P000326,Jignesh Patel,2015-08-15,0,0
VEH000103,TN45 PI 3476,Hero,Splendor Plus,Red,TWO_WHEELER,Tamil Nadu,P000336,Munna Baghel,2014-02-19,0,0
VEH000104,MH31 AZ 9919,Honda,City,Maroon,LMV,Maharashtra,P000338,THIRD PARTY,2026-02-20,0,0
VEH000105,DL02 HI 8742,Tata,Harrier,Grey,LMV,Delhi,P000345,Praveen Jacob,2025-08-14,0,0
VEH000106,MH04 UY 4436,Tata,Sumo,Blue,LMV,Maharashtra,P000346,Rajeevan Marar,2015-01-09,0,0
VEH000107,MH02 UC 3973,Hyundai,i20,Maroon,LMV,Maharashtra,P000353,Ratheesh Menon,2014-04-04,0,0
VEH000108,TN67 ON 8254,Eicher,Pro 2049,Silver,COMMERCIAL,Tamil Nadu,P000355,THIRD PARTY,2016-04-25,0,1
VEH000109,UP80 ER 8448,Hyundai,Creta,Black,LMV,Uttar Pradesh,P000359,THIRD PARTY,2023-06-28,0,0
VEH000110,UP65 PA 1654,Tata,Nexon,Red,LMV,Uttar Pradesh,P000360,Jagdish Singh,2024-01-27,0,0
VEH000111,MP30 MT 7428,Mahindra,Pick-Up,Maroon,LMV,Madhya Pradesh,P000361,Ramesh Dixit,2021-06-08,0,0
VEH000112,MP20 FK 6857,Hyundai,Santro,Red,LMV,Madhya Pradesh,P000363,Perumal Kurup,2019-03-23,0,1
VEH000113,MP30 QJ 6243,Toyota,Etios,Maroon,LMV,Madhya Pradesh,P000364,Jitendra Prajapati,2016-12-31,1,0
VEH000114,KA32 IL 8616,Royal Enfield,Classic 350,Black,TWO_WHEELER,Karnataka,P000366,THIRD PARTY,2018-09-04,0,0
VEH000115,BR01 TP 0782,Ashok Leyland,Ecomet,Blue,COMMERCIAL,Bihar,P000367,THIRD PARTY,2014-05-09,0,0
VEH000116,TN45 IW 7644,Bajaj,Platina,White,TWO_WHEELER,Tamil Nadu,P000368,Dinesh Rathore,2013-09-24,0,0
VEH000117,BR01 DD 9235,Bajaj,Pulsar 220,Silver,TWO_WHEELER,Bihar,P000370,Yallappa Angadi,2017-04-02,0,0
VEH000118,TN67 DY 5473,Eicher,Pro 3015,Black,COMMERCIAL,Tamil Nadu,P000372,Rajendran Pillai,2025-05-11,0,0
VEH000119,BR01 AW 1915,Bajaj,Pulsar 220,White,TWO_WHEELER,Bihar,P000373,Saravanan Mudaliar,2015-12-12,0,1
VEH000120,KA01 ZL 8046,Toyota,Fortuner,Grey,LMV,Karnataka,P000375,Satish Kushwaha,2014-09-18,0,0
VEH000121,TN67 YA 0237,Maruti Suzuki,Brezza,Maroon,LMV,Tamil Nadu,P000377,Veeresh Acharya,2017-04-21,0,0
VEH000122,MP30 YL 9471,Tata,Sumo,Blue,LMV,Madhya Pradesh,P000380,Rajendran Gounder,2020-02-02,0,0
VEH000123,MP09 IO 2331,Maruti Suzuki,Dzire,Silver,LMV,Madhya Pradesh,P000381,Perumal Subramanian,2024-10-31,0,1
VEH000124,UP62 HU 4842,Hero,HF Deluxe,Silver,TWO_WHEELER,Uttar Pradesh,P000387,THIRD PARTY,2012-12-24,0,0
VEH000125,RJ27 LJ 3812,Honda,Amaze,Blue,LMV,Rajasthan,P000390,Chitra Mudaliar,2025-10-25,0,1
VEH000126,KA41 KG 0922,Eicher,Pro 3015,Grey,COMMERCIAL,Karnataka,P000391,Mallikarjun Desai,2024-02-23,0,0
VEH000127,UP80 EN 1771,Tata,Safari,Silver,LMV,Uttar Pradesh,P000392,THIRD PARTY,2017-02-22,0,1
VEH000128,KA41 NQ 4775,Honda,Amaze,Silver,LMV,Karnataka,P000394,Pramod Shukla,2015-02-25,0,0
VEH000129,TN01 EL 7334,Tata,Nexon,Maroon,LMV,Tamil Nadu,P000395,Kannan Annadurai,2018-02-12,0,0
VEH000130,RJ05 HP 7424,Hero,HF Deluxe,Maroon,TWO_WHEELER,Rajasthan,P000397,Selvam Gounder,2019-09-03,0,0
VEH000131,TN37 XI 3334,Ashok Leyland,Dost,Maroon,COMMERCIAL,Tamil Nadu,P000399,Netrapal Bhardwaj,2015-04-24,0,0
VEH000132,TN67 XZ 4216,Toyota,Etios,Blue,LMV,Tamil Nadu,P000400,Mallikarjun Hiremath,2014-01-11,0,1
VEH000133,BR01 DU 2982,Tata,Safari,Red,LMV,Bihar,P000404,THIRD PARTY,2024-03-05,1,0
VEH000134,BR11 ZM 4789,Tata,Nexon,Silver,LMV,Bihar,P000405,THIRD PARTY,2026-04-10,0,0
VEH000135,KA03 RO 4871,Maruti Suzuki,Ertiga,Black,LMV,Karnataka,P000413,Selvam Kurup,2021-06-27,1,0
VEH000136,BR09 EW 5030,Hyundai,i20,Blue,LMV,Bihar,P000414,Thangaraj Rajendran,2018-06-19,0,0
VEH000137,MH03 TY 3122,Eicher,Pro 3015,Red,COMMERCIAL,Maharashtra,P000417,Yogendra Tomar,2014-07-19,1,0
VEH000138,KA03 CN 7380,Maruti Suzuki,Baleno,Grey,LMV,Karnataka,P000424,Shanti Dubey,2023-02-21,0,1
VEH000139,WB57 WV 6358,Maruti Suzuki,Brezza,Blue,LMV,West Bengal,P000428,THIRD PARTY,2025-05-31,1,0
VEH000140,HR55 IE 6363,Mahindra,Bolero,Grey,LMV,Haryana,P000433,Subhas Naskar,2024-02-05,0,0
VEH000141,AS15 ES 9818,Tata,407,Grey,LMV,Assam,P000435,Naseer Zaidi,2015-11-13,0,0
VEH000142,HR26 WT 0692,Hyundai,Santro,Black,LMV,Haryana,P000437,THIRD PARTY,2015-09-03,0,0
VEH000143,HR26 SH 9423,Toyota,Fortuner,Maroon,LMV,Haryana,P000438,Kartik Bose,2017-09-04,0,0
VEH000144,DL10 VS 0588,Tata,407,White,LMV,Delhi,P000446,THIRD PARTY,2020-02-10,0,0
VEH000145,KA19 VK 1472,Royal Enfield,Bullet 350,Blue,TWO_WHEELER,Karnataka,P000449,Sanjib Bhattacharya,2025-04-15,0,0
VEH000146,BR06 TC 1710,Hero,HF Deluxe,Silver,TWO_WHEELER,Bihar,P000451,Munna Chauhan,2019-07-21,0,0
VEH000147,HR38 VZ 4438,Mahindra,Bolero,Grey,LMV,Haryana,P000452,Mushtaq Baig,2026-03-24,0,0
VEH000148,DL07 WL 4313,Hero,HF Deluxe,Maroon,TWO_WHEELER,Delhi,P000454,THIRD PARTY,2016-09-09,0,0
VEH000149,DL04 CW 8365,Ashok Leyland,Dost,Blue,COMMERCIAL,Delhi,P000459,THIRD PARTY,2020-03-29,0,0
VEH000150,HR10 YL 1055,Ashok Leyland,Dost,Grey,COMMERCIAL,Haryana,P000461,THIRD PARTY,2019-11-30,0,0
VEH000151,AS15 YE 7602,Toyota,Etios,White,LMV,Assam,P000462,Kuldeep Pandey,2016-12-14,0,0
VEH000152,AS01 NT 6268,Maruti Suzuki,Baleno,Black,LMV,Assam,P000464,Vinod Rajput,2019-06-07,0,0
VEH000153,DL01 NE 8982,Toyota,Fortuner,Maroon,LMV,Delhi,P000465,Sanjib Das,2018-07-14,0,0
VEH000154,DL13 RS 3059,Mahindra,Pick-Up,Grey,LMV,Delhi,P000468,Gopal Naskar,2025-10-03,0,0
VEH000155,DL04 CT 0559,Honda,City,Red,LMV,Delhi,P000471,THIRD PARTY,2020-07-08,0,0
VEH000156,MP30 MQ 2110,Honda,City,Silver,LMV,Madhya Pradesh,P000476,Imran Rahman,2017-10-17,0,1
VEH000157,BR09 AR 7204,Eicher,Pro 3015,Maroon,COMMERCIAL,Bihar,P000478,THIRD PARTY,2020-08-16,0,0
VEH000158,MH31 XD 3116,Ashok Leyland,Boss,White,COMMERCIAL,Maharashtra,P000479,Balbir Baghel,2025-01-13,0,0
VEH000159,MP09 ZF 9642,Toyota,Etios,Red,LMV,Madhya Pradesh,P000481,Sajid Mansuri,2021-12-23,0,0
VEH000160,BR33 GE 4923,Toyota,Etios,Red,LMV,Bihar,P000482,THIRD PARTY,2025-12-21,0,0
VEH000161,MP20 GB 6344,Mahindra,Bolero,Grey,LMV,Madhya Pradesh,P000488,THIRD PARTY,2025-04-04,0,0
VEH000162,JH10 PE 9089,Hero,Splendor Plus,Red,TWO_WHEELER,Jharkhand,P000494,Yogendra Pandey,2015-03-18,1,0
VEH000163,MP07 NI 8782,Maruti Suzuki,Ertiga,Blue,LMV,Madhya Pradesh,P000496,THIRD PARTY,2022-07-09,0,0
VEH000164,MP13 YH 7112,Toyota,Etios,White,LMV,Madhya Pradesh,P000498,THIRD PARTY,2020-12-12,0,0
VEH000165,MH01 BQ 6974,Honda,Amaze,Grey,LMV,Maharashtra,P000499,Chandrabhan Pandey,2022-04-13,0,1
VEH000166,UP62 JJ 6753,Hyundai,Creta,Black,LMV,Uttar Pradesh,P000503,THIRD PARTY,2019-02-18,0,0
VEH000167,MP30 XP 2970,Mahindra,Bolero,Grey,LMV,Madhya Pradesh,P000504,Jitendra Solanki,2021-06-21,0,0
VEH000168,JH10 ID 3813,Eicher,Pro 2049,Black,COMMERCIAL,Jharkhand,P000506,Urmila Prajapati,2018-09-28,0,0
VEH000169,JH20 QQ 7853,Ashok Leyland,Dost,Red,COMMERCIAL,Jharkhand,P000507,Suresh Nishad,2024-03-31,0,1
VEH000170,MP30 WB 0377,Maruti Suzuki,Dzire,Blue,LMV,Madhya Pradesh,P000508,Rizwan Ahmed,2022-06-25,0,1
VEH000171,UP14 CQ 2239,Hero,Passion Pro,Black,TWO_WHEELER,Uttar Pradesh,P000509,Shakeel Mirza,2016-04-27,0,0
VEH000172,WB06 BH 4040,Mahindra,Scorpio,White,LMV,West Bengal,P000511,Rafiq Zaidi,2019-06-22,0,0
VEH000173,BR28 BA 8302,Toyota,Etios,Blue,LMV,Bihar,P000513,Devendra Bhardwaj,2024-11-30,0,0
VEH000174,JH10 PP 2274,Royal Enfield,Bullet 350,Maroon,TWO_WHEELER,Jharkhand,P000514,THIRD PARTY,2014-05-29,0,0
VEH000175,JH10 HE 7176,Maruti Suzuki,Brezza,Grey,LMV,Jharkhand,P000516,Altaf Pathan,2014-06-20,0,0
VEH000176,WB73 SU 0676,Toyota,Etios,Black,LMV,West Bengal,P000517,Hariom Sengar,2021-07-11,0,1
VEH000177,MP30 UW 1527,Hyundai,Creta,Grey,LMV,Madhya Pradesh,P000518,THIRD PARTY,2022-08-28,0,1
VEH000178,UP32 YB 9735,Hyundai,Creta,White,LMV,Uttar Pradesh,P000519,Pramod Jaiswal,2021-04-04,0,0
VEH000179,DL10 UB 7889,Eicher,Pro 3015,Maroon,COMMERCIAL,Delhi,P000521,Vijay Bhadauria,2020-11-27,0,0
VEH000180,BR33 IM 7156,Hyundai,Verna,Red,LMV,Bihar,P000522,Wasim Malik,2020-04-04,0,0
VEH000181,HR10 PZ 2020,Royal Enfield,Bullet 350,Red,TWO_WHEELER,Haryana,P000525,Naseer Ahmed,2020-02-24,1,0
VEH000182,HR26 XP 6720,Maruti Suzuki,Brezza,White,LMV,Haryana,P000527,Harbhajan Sarao,2022-12-10,0,0
VEH000183,UP78 FJ 1411,Toyota,Fortuner,Grey,LMV,Uttar Pradesh,P000532,Shakeel Rahman,2013-05-11,1,0
VEH000184,HR51 MD 7296,Royal Enfield,Bullet 350,White,TWO_WHEELER,Haryana,P000536,Javed Shaikh,2024-10-11,0,0
VEH000185,RJ14 ZQ 7079,Honda,Amaze,Grey,LMV,Rajasthan,P000538,Balwinder Gill,2023-10-14,0,1
VEH000186,PB46 YM 3418,Toyota,Fortuner,Red,LMV,Punjab,P000539,THIRD PARTY,2021-12-13,0,0
VEH000187,BR33 TB 6069,Mahindra,Thar,Blue,LMV,Bihar,P000543,Shahnawaz Mansuri,2015-07-25,0,0
VEH000188,DL03 DD 8135,Maruti Suzuki,Baleno,Blue,LMV,Delhi,P000544,Iqbal Malik,2015-10-04,0,0
VEH000189,DL08 FN 7889,Toyota,Fortuner,Black,LMV,Delhi,P000547,Jarnail Sarao,2024-03-27,0,0
VEH000190,HR26 YP 5265,Tata,Ace,Silver,LMV,Haryana,P000552,THIRD PARTY,2024-03-12,0,0
VEH000191,UP65 EF 9917,Toyota,Innova Crysta,Black,LMV,Uttar Pradesh,P000554,THIRD PARTY,2013-02-06,0,0
VEH000192,UP62 EX 2226,Hero,Splendor Plus,Black,TWO_WHEELER,Uttar Pradesh,P000555,Dinesh Gupta,2022-09-22,0,0
VEH000193,BR33 NF 0120,Ashok Leyland,Dost,Red,COMMERCIAL,Bihar,P000560,THIRD PARTY,2020-07-13,0,0
VEH000194,PB08 OI 1762,Mahindra,Scorpio,Maroon,LMV,Punjab,P000562,Yusuf Pathan,2025-02-26,0,1
VEH000195,BR11 FG 7394,Hyundai,Creta,Black,LMV,Bihar,P000563,Malkiat Bains,2014-11-05,1,0
VEH000196,BR28 UE 7609,Royal Enfield,Classic 350,Maroon,TWO_WHEELER,Bihar,P000568,Lakhwinder Singh,2012-10-11,0,0
VEH000197,DL09 PH 9538,Honda,Amaze,Black,LMV,Delhi,P000571,THIRD PARTY,2021-01-17,0,0
VEH000198,WB02 XX 0566,Royal Enfield,Classic 350,Maroon,TWO_WHEELER,West Bengal,P000572,THIRD PARTY,2018-01-10,0,0
VEH000199,DL02 NS 9833,Mahindra,Thar,Maroon,LMV,Delhi,P000574,THIRD PARTY,2024-01-28,0,0
VEH000200,BR06 VE 0608,Ashok Leyland,Ecomet,Maroon,COMMERCIAL,Bihar,P000575,Vinod Nagar,2016-06-06,0,0
VEH000201,AS15 VS 7991,Maruti Suzuki,Dzire,White,LMV,Assam,P000576,Anup Chakraborty,2018-12-06,1,1
