account_id,account_number,ifsc,bank,branch_city,branch_state,holder_person_id,holder_org_id,holder_name,account_type,opened_date,status,is_mule_account,kyc_risk_rating
AC000040,73880842740628,APBX0285072,Airtel Payments Bank,Thane,Maharashtra,P000026,,Hitesh Trivedi,SAVINGS,2025-04-22,ACTIVE,1,LOW
AC000041,60563607124,IFBX0137394,IDFC First Bank,Kutch,Gujarat,P000027,,Vishal Gaikwad,SAVINGS,2017-01-25,ACTIVE,0,LOW
AC000042,704004386668,SBOI0470726,State Bank of India,New Delhi,Delhi,P000028,,Alpesh Thakor,SAVINGS,2016-04-30,ACTIVE,0,LOW
AC000043,8053738088233097,CBOI0019982,Central Bank of India,New Delhi,Delhi,P000028,,Alpesh Thakor,SAVINGS,2022-06-17,ACTIVE,0,MEDIUM
AC000044,2109863678281689,KVBX0600668,Karur Vysya Bank,New Delhi,Delhi,P000028,,Alpesh Thakor,CURRENT,2021-03-10,ACTIVE,0,HIGH
AC000045,25284658068179,ABXX0224199,Axis Bank,New Delhi,Delhi,P000028,,Alpesh Thakor,CURRENT,2023-12-25,CLOSED,0,LOW
AC000046,15413827386,BOIX0883392,Bank of India,Ahmedabad,Gujarat,P000029,,Ashwin Zala,CURRENT,2019-02-27,FROZEN,0,MEDIUM
AC000047,546862966103,APBX0565748,Airtel Payments Bank,Ahmedabad,Gujarat,P000029,,Ashwin Zala,SAVINGS,2024-11-03,DORMANT,0,LOW
AC000048,627350600126,PPBX0646096,Paytm Payments Bank,Ahmedabad,Gujarat,P000029,,Ashwin Zala,SAVINGS,2014-11-06,ACTIVE,0,LOW
AC000049,66595454300,BOBX0178462,Bank of Baroda,Ahmedabad,Gujarat,P000029,,Ashwin Zala,CURRENT,2013-03-20,DORMANT,0,MEDIUM
AC000050,5920415528230164,IOBX0303297,Indian Overseas Bank,New Delhi,Delhi,P000030,,Rahul Jadhav,SAVINGS,2024-04-02,ACTIVE,0,MEDIUM
AC000051,945786740477,IBXX0246497,IndusInd Bank,New Delhi,Delhi,P000030,,Rahul Jadhav,SAVINGS,2018-03-03,DORMANT,0,MEDIUM
AC000052,47078937987,SBOI0752399,State Bank of India,Ballari,Karnataka,P000031,,Vipul Desai,CURRENT,2024-03-13,FROZEN,0,LOW
AC000053,57368507051,IBXX0825110,ICICI Bank,Surat,Gujarat,P000032,,Rasik Joshi,WALLET,2024-02-18,ACTIVE,0,MEDIUM
AC000054,91445661966760,KVBX0150434,Karur Vysya Bank,Surat,Gujarat,P000032,,Rasik Joshi,WALLET,2016-01-01,FROZEN,0,LOW
AC000055,315963781319,YBXX0151813,Yes Bank,Bengaluru,Karnataka,P000033,,Arif Chaudhary,SAVINGS,2014-04-30,ACTIVE,1,LOW
AC000056,49405815193942,KMBX0789119,Kotak Mahindra Bank,Bengaluru,Karnataka,P000033,,Arif Chaudhary,WALLET,2022-12-11,ACTIVE,1,MEDIUM
AC000057,57694151398553,PPBX0237508,Paytm Payments Bank,Thane,Maharashtra,P000034,,Mohammed Idrisi,CURRENT,2013-03-02,ACTIVE,0,LOW
AC000058,23243421395796,KVBX0562807,Karur Vysya Bank,Thane,Maharashtra,P000034,,Mohammed Idrisi,SAVINGS,2020-03-29,ACTIVE,0,LOW
AC000059,51068382921629,ASFB0860427,AU Small Finance Bank,Surat,Gujarat,P000035,,Sachin Bhosale,SAVINGS,2026-05-13,ACTIVE,0,MEDIUM
AC000060,056956250969,HBXX0412352,HDFC Bank,Surat,Gujarat,P000035,,Sachin Bhosale,SAVINGS,2014-05-10,ACTIVE,0,MEDIUM
AC000061,0811071492360368,SBOI0085884,State Bank of India,Surat,Gujarat,P000035,,Sachin Bhosale,SAVINGS,2025-05-16,FROZEN,0,LOW
AC000062,70423275888,CBXX0118592,Canara Bank,Bengaluru,Karnataka,P000036,,Shahnaz Alam,SAVINGS,2015-06-21,ACTIVE,1,HIGH
AC000063,903638574339,FBXX0195800,Federal Bank,New Delhi,Delhi,P000037,,Ganesh Dalvi,SAVINGS,2022-05-18,ACTIVE,0,LOW
AC000064,14683146500,IBXX0394558,ICICI Bank,New Delhi,Delhi,P000037,,Ganesh Dalvi,CURRENT,2021-07-13,ACTIVE,0,HIGH
AC000065,610909824508,IBXX0146470,ICICI Bank,New Delhi,Delhi,P000038,,Tushar Zala,SAVINGS,2023-02-22,ACTIVE,1,LOW
AC000066,22525531341,IBXX0762280,IndusInd Bank,New Delhi,Delhi,P000038,,Tushar Zala,OVERDRAFT,2015-08-05,ACTIVE,1,HIGH
AC000067,52032865918198,KMBX0052839,Kotak Mahindra Bank,Rajkot,Gujarat,P000039,,Sagar Rane,CURRENT,2018-06-03,DORMANT,0,HIGH
AC000068,60519170242,KVBX0363743,Karur Vysya Bank,Mumbai,Maharashtra,P000040,,Shahnawaz Pathan,SAVINGS,2021-09-13,ACTIVE,0,LOW
AC000069,13571682611147,BOBX0620734,Bank of Baroda,Mumbai,Maharashtra,P000040,,Shahnawaz Pathan,SAVINGS,2024-11-10,ACTIVE,0,MEDIUM
AC000070,55647311688592,UBOI0663700,Union Bank of India,Mumbai,Maharashtra,P000040,,Shahnawaz Pathan,SAVINGS,2020-10-13,ACTIVE,0,HIGH
AC000071,14857816560,KMBX0880418,Kotak Mahindra Bank,Mumbai,Maharashtra,P000040,,Shahnawaz Pathan,CURRENT,2018-02-01,ACTIVE,0,HIGH
AC000072,882617346087,IBXX0363149,ICICI Bank,Mumbai,Maharashtra,P000040,,Shahnawaz Pathan,SAVINGS,2019-05-20,ACTIVE,0,LOW
AC000073,793985930822,ABXX0781469,Axis Bank,Ballari,Karnataka,P000041,,Pandurang Bhoir,SAVINGS,2024-12-25,ACTIVE,0,LOW
AC000074,618837448923,APBX0960424,Airtel Payments Bank,New Delhi,Delhi,P000042,,Trupti Rabari,SAVINGS,2019-04-11,ACTIVE,0,LOW
AC000075,178295988161,BBXX0037632,Bandhan Bank,New Delhi,Delhi,P000042,,Trupti Rabari,SAVINGS,2024-03-17,ACTIVE,0,HIGH
AC000076,6602445697918143,BOBX0369757,Bank of Baroda,Mumbai,Maharashtra,P000043,,Bharat Dave,SAVINGS,2020-10-05,FROZEN,0,LOW
AC000077,26053388249969,SBOI0660818,State Bank of India,Mumbai,Maharashtra,P000043,,Bharat Dave,SAVINGS,2021-09-11,ACTIVE,0,MEDIUM
AC000078,914183590949,CBOI0044474,Central Bank of India,Vadodara,Gujarat,P000044,,Hitesh Solanki,SAVINGS,2023-10-25,ACTIVE,0,LOW
AC000079,333569420184,PPBX0457661,Paytm Payments Bank,Vadodara,Gujarat,P000045,,Dharmesh Zala,SAVINGS,2016-12-26,FROZEN,0,MEDIUM
AC000080,54009231950,KMBX0787305,Kotak Mahindra Bank,Surat,Gujarat,P000046,,Sandip Kamble,CURRENT,2019-02-28,ACTIVE,0,HIGH
AC000081,292620555562,UBOI0849756,Union Bank of India,Surat,Gujarat,P000046,,Sandip Kamble,CURRENT,2019-03-01,ACTIVE,0,LOW
AC000082,672916942616,IOBX0664710,Indian Overseas Bank,Mumbai,Maharashtra,P000047,,Swapnil Pawar,SAVINGS,2013-01-30,ACTIVE,1,LOW
AC000083,7889214181007290,FBXX0847980,Federal Bank,New Delhi,Delhi,P000048,,Tanaji Tandel,CURRENT,2023-04-05,ACTIVE,0,LOW
AC000084,1107068686464147,IBXX0359468,ICICI Bank,New Delhi,Delhi,P000049,,Bhavesh Thakor,SAVINGS,2022-06-15,ACTIVE,1,LOW
AC000085,8997739516603237,ABXX0014095,Axis Bank,New Delhi,Delhi,P000049,,Bhavesh Thakor,CURRENT,2020-10-05,CLOSED,1,MEDIUM
AC000086,16762187430964,IBXX0742932,IndusInd Bank,Bengaluru,Karnataka,P000050,,Pandurang Deshmukh,SAVINGS,2024-01-01,ACTIVE,0,LOW
AC000087,76648784138,KMBX0312760,Kotak Mahindra Bank,New Delhi,Delhi,P000051,,Bhaskar Gaikwad,SAVINGS,2020-07-13,FROZEN,0,LOW
AC000088,452488160353,APBX0417654,Airtel Payments Bank,New Delhi,Delhi,P000051,,Bhaskar Gaikwad,SAVINGS,2019-06-29,FROZEN,0,LOW
AC000089,14739129835,PPBX0844801,Paytm Payments Bank,New Delhi,Delhi,P000051,,Bhaskar Gaikwad,SAVINGS,2026-01-19,ACTIVE,0,LOW
AC000090,68539091744794,KVBX0080308,Karur Vysya Bank,New Delhi,Delhi,P000051,,Bhaskar Gaikwad,SAVINGS,2024-01-22,ACTIVE,0,MEDIUM
AC000091,239766215415,BOBX0198070,Bank of Baroda,New Delhi,Delhi,P000052,,Vishal Jadhav,CURRENT,2022-08-02,ACTIVE,0,LOW
AC000092,28635834926389,IBXX0874955,ICICI Bank,New Delhi,Delhi,P000052,,Vishal Jadhav,SAVINGS,2016-10-23,ACTIVE,0,LOW
AC000093,72834638916190,UBOI0558753,Union Bank of India,New Delhi,Delhi,P000052,,Vishal Jadhav,SAVINGS,2018-06-14,ACTIVE,0,MEDIUM
AC000094,94167952027,BOBX0989145,Bank of Baroda,New Delhi,Delhi,P000052,,Vishal Jadhav,CURRENT,2019-03-04,DORMANT,0,LOW
AC000095,2845848749400926,BOBX0288658,Bank of Baroda,New Delhi,Delhi,P000052,,Vishal Jadhav,CURRENT,2025-09-08,CLOSED,0,LOW
AC000096,648713000255,BBXX0464533,Bandhan Bank,Porbandar,Gujarat,P000053,,Mangesh Shinde,SAVINGS,2019-01-26,ACTIVE,0,LOW
AC000097,59587695591268,BOIX0130783,Bank of India,Mumbai,Maharashtra,P000054,,Dharmesh Shah,SAVINGS,2019-10-13,ACTIVE,0,MEDIUM
AC000098,89275234087056,UBOI0833555,Union Bank of India,Rajkot,Gujarat,P000055,,Ibrahim Mirza,SAVINGS,2013-06-15,ACTIVE,0,MEDIUM
AC000099,824350979135,CBXX0329561,Canara Bank,Nagpur,Maharashtra,P000056,,Swapnil Salunkhe,CURRENT,2015-12-23,ACTIVE,0,LOW
AC000100,67640897795361,ASFB0408307,AU Small Finance Bank,Nagpur,Maharashtra,P000056,,Swapnil Salunkhe,SAVINGS,2019-05-15,ACTIVE,0,LOW
AC000101,3156726173629245,UBOI0989777,Union Bank of India,Nagpur,Maharashtra,P000056,,Swapnil Salunkhe,SAVINGS,2021-07-10,ACTIVE,0,LOW
AC000102,86186948467,CBXX0475291,Canara Bank,Ballari,Karnataka,P000057,,Sagar Bhoir,SAVINGS,2013-05-21,ACTIVE,0,LOW
AC000103,9227025254110556,PPBX0241266,Paytm Payments Bank,Ballari,Karnataka,P000057,,Sagar Bhoir,SAVINGS,2021-08-12,DORMANT,0,MEDIUM
AC000104,4900449100723149,HBXX0204993,HDFC Bank,Mangaluru,Karnataka,P000058,,Alpesh Shah,SAVINGS,2015-08-06,DORMANT,0,LOW
AC000105,360109993191,PNBX0400998,Punjab National Bank,Kalaburagi,Karnataka,P000059,,Bharat Bhatt,SAVINGS,2022-09-07,FROZEN,1,HIGH
AC000106,887415949254,KVBX0345026,Karur Vysya Bank,Kalaburagi,Karnataka,P000059,,Bharat Bhatt,SAVINGS,2015-07-22,ACTIVE,1,LOW
AC000107,64419941243616,ASFB0050299,AU Small Finance Bank,Porbandar,Gujarat,P000060,,Rasik Vaghela,SAVINGS,2024-05-26,ACTIVE,0,LOW
AC000108,49836784903,ASFB0217749,AU Small Finance Bank,Porbandar,Gujarat,P000060,,Rasik Vaghela,CURRENT,2015-09-17,ACTIVE,0,HIGH
AC000109,0284655921895688,PPBX0649933,Paytm Payments Bank,Ahmedabad,Gujarat,P000061,,Amol Tandel,CURRENT,2013-12-01,ACTIVE,0,LOW
AC000110,78677550053,IFBX0576036,IDFC First Bank,Bengaluru,Karnataka,P000062,,Dattatray Tandel,CURRENT,2014-05-29,ACTIVE,0,HIGH
AC000111,4151632956614824,BOBX0364851,Bank of Baroda,Bengaluru,Karnataka,P000062,,Dattatray Tandel,SAVINGS,2019-02-09,ACTIVE,0,LOW
AC000112,87634272477,PPBX0115787,Paytm Payments Bank,Porbandar,Gujarat,P000063,,Dattatray Tandel,SAVINGS,2025-08-02,FROZEN,0,MEDIUM
AC000113,2173671387314031,YBXX0916661,Yes Bank,Porbandar,Gujarat,P000063,,Dattatray Tandel,SAVINGS,2022-03-12,ACTIVE,0,MEDIUM
AC000114,101254675914,UBOI0999597,Union Bank of India,Mumbai,Maharashtra,P000064,,Rafiq Ahmed,SAVINGS,2018-07-11,ACTIVE,0,MEDIUM
AC000115,06978209938721,KMBX0120382,Kotak Mahindra Bank,New Delhi,Delhi,P000065,,Shahnawaz Mansuri,CURRENT,2023-02-04,ACTIVE,1,LOW
AC000116,200960153530,PPBX0532562,Paytm Payments Bank,Bengaluru,Karnataka,P000066,,Ashfaq Mansuri,WALLET,2019-01-21,ACTIVE,0,HIGH
AC000117,39429008892585,CBOI0783980,Central Bank of India,Mumbai,Maharashtra,P000067,,Pandurang Mhatre,SAVINGS,2021-07-26,ACTIVE,1,LOW
AC000118,9485307487813409,CBXX0514050,Canara Bank,Mumbai,Maharashtra,P000067,,Pandurang Mhatre,CURRENT,2014-12-04,ACTIVE,1,LOW
AC000119,59509428168,APBX0362577,Airtel Payments Bank,Vadodara,Gujarat,P000068,,Reshma Saifi,SAVINGS,2014-04-28,ACTIVE,0,MEDIUM
AC000120,66974469707,CBXX0119895,Canara Bank,Mumbai,Maharashtra,P000069,,Sarfaraz Qureshi,OVERDRAFT,2015-07-31,FROZEN,0,LOW
AC000121,477496784527,ABXX0331881,Axis Bank,Vadodara,Gujarat,P000070,,Ashwin Trivedi,SAVINGS,2024-01-22,ACTIVE,0,HIGH
AC000122,57970790770455,HBXX0300173,HDFC Bank,Vadodara,Gujarat,P000070,,Ashwin Trivedi,SAVINGS,2017-11-11,DORMANT,0,LOW
AC000123,143422070431,FBXX0077222,Federal Bank,Mumbai,Maharashtra,P000071,,Chirag Desai,SAVINGS,2013-09-08,ACTIVE,1,HIGH
AC000124,7428601767873880,APBX0111305,Airtel Payments Bank,Mumbai,Maharashtra,P000071,,Chirag Desai,SAVINGS,2020-07-12,DORMANT,1,LOW
AC000125,237750448063,CBXX0244896,Canara Bank,Mumbai,Maharashtra,P000071,,Chirag Desai,SAVINGS,2024-12-13,ACTIVE,0,LOW
AC000126,80795653000,ABXX0227509,Axis Bank,New Delhi,Delhi,P000072,,Jayesh Desai,SAVINGS,2021-10-19,ACTIVE,1,MEDIUM
AC000127,33714213747,KMBX0279392,Kotak Mahindra Bank,New Delhi,Delhi,P000072,,Jayesh Desai,CURRENT,2023-08-16,ACTIVE,1,HIGH
AC000128,6293369832407281,CBOI0959816,Central Bank of India,New Delhi,Delhi,P000072,,Jayesh Desai,WALLET,2019-04-26,ACTIVE,1,LOW
AC000129,77744222124,FBXX0219738,Federal Bank,Mumbai,Maharashtra,P000073,,Iqbal Mansuri,SAVINGS,2016-07-22,ACTIVE,0,MEDIUM
AC000130,0695312178940697,IBXX0296720,ICICI Bank,Mangaluru,Karnataka,P000074,,Ashwin Parmar,SAVINGS,2024-03-30,ACTIVE,0,LOW
AC000131,943149142154,PPBX0409676,Paytm Payments Bank,Vadodara,Gujarat,P000075,,Nisha Zala,SAVINGS,2019-04-12,DORMANT,0,MEDIUM
AC000132,05277035476630,IFBX0779975,IDFC First Bank,Vadodara,Gujarat,P000075,,Nisha Zala,SAVINGS,2024-03-01,ACTIVE,0,MEDIUM
AC000133,49757456844,BOIX0263333,Bank of India,Mangaluru,Karnataka,P000076,,Divyesh Shah,CURRENT,2024-05-17,DORMANT,0,MEDIUM
AC000134,23849203175,BBXX0914509,Bandhan Bank,Bengaluru,Karnataka,P000077,,Dharmesh Thakor,SAVINGS,2016-09-19,ACTIVE,0,MEDIUM
AC000135,9395391067333827,APBX0653480,Airtel Payments Bank,Bengaluru,Karnataka,P000077,,Dharmesh Thakor,CURRENT,2021-04-06,ACTIVE,0,MEDIUM
AC000136,192959099441,IFBX0475376,IDFC First Bank,Kalaburagi,Karnataka,P000078,,Prashant Deshmukh,CURRENT,2021-12-30,FROZEN,0,MEDIUM
AC000137,85864766955770,ABXX0518650,Axis Bank,Kalaburagi,Karnataka,P000078,,Prashant Deshmukh,SAVINGS,2020-11-23,ACTIVE,0,MEDIUM
AC000138,05045961974,SBOI0005975,State Bank of India,Mumbai,Maharashtra,P000079,,Rasik Trivedi,CURRENT,2025-09-25,ACTIVE,0,HIGH
AC000139,9157349438563375,APBX0984913,Airtel Payments Bank,Rajkot,Gujarat,P000080,,Kalpesh Zala,CURRENT,2018-11-17,ACTIVE,0,HIGH
AC000140,11337952331,CBOI0432417,Central Bank of India,Rajkot,Gujarat,P000080,,Kalpesh Zala,SAVINGS,2024-03-29,ACTIVE,0,MEDIUM
AC000141,9633879081322082,HBXX0204484,HDFC Bank,Rajkot,Gujarat,P000080,,Kalpesh Zala,CURRENT,2016-04-25,ACTIVE,0,HIGH
AC000142,178421391369,IOBX0975483,Indian Overseas Bank,New Delhi,Delhi,P000081,,Sandip Salunkhe,SAVINGS,2018-03-20,ACTIVE,0,LOW
AC000143,42241250383412,IBXX0472237,ICICI Bank,New Delhi,Delhi,P000081,,Sandip Salunkhe,OVERDRAFT,2022-12-21,ACTIVE,0,LOW
AC000144,2447839071212579,UBOI0896910,Union Bank of India,Bengaluru,Karnataka,P000082,,Swapnil Jadhav,SAVINGS,2013-02-27,DORMANT,0,MEDIUM
AC000145,449520769915,CBOI0283119,Central Bank of India,Bengaluru,Karnataka,P000082,,Swapnil Jadhav,SAVINGS,2017-02-02,ACTIVE,0,LOW
AC000146,18005440277,FBXX0601231,Federal Bank,Bengaluru,Karnataka,P000082,,Swapnil Jadhav,SAVINGS,2022-03-04,ACTIVE,0,LOW
AC000147,668574397384,BOBX0718458,Bank of Baroda,Bengaluru,Karnataka,P000082,,Swapnil Jadhav,SAVINGS,2013-08-15,ACTIVE,0,HIGH
AC000148,82363725112,ABXX0980310,Axis Bank,Bengaluru,Karnataka,P000082,,Swapnil Jadhav,SAVINGS,2015-06-23,ACTIVE,0,LOW
AC000149,29043682756849,BOIX0785078,Bank of India,Bengaluru,Karnataka,P000083,,Mitesh Joshi,OVERDRAFT,2018-11-26,DORMANT,0,HIGH
AC000150,81580867894,BOIX0511932,Bank of India,Bengaluru,Karnataka,P000083,,Mitesh Joshi,CURRENT,2017-02-20,ACTIVE,0,LOW
AC000151,69275927460,UBOI0100697,Union Bank of India,Solapur,Maharashtra,P000084,,Rafiq Farooqui,SAVINGS,2023-09-29,ACTIVE,0,MEDIUM
AC000152,7674482287807390,IBXX0049630,ICICI Bank,Mumbai,Maharashtra,P000085,,Ibrahim Ansari,CURRENT,2013-05-24,DORMANT,0,LOW
AC000153,0296499104716495,KVBX0458446,Karur Vysya Bank,Mumbai,Maharashtra,P000085,,Ibrahim Ansari,SAVINGS,2022-11-15,ACTIVE,0,HIGH
AC000154,5694276380826326,UBOI0763114,Union Bank of India,Nashik,Maharashtra,P000086,,Chirag Dave,SAVINGS,2016-03-05,FROZEN,0,LOW
AC000155,2492151569443878,CBXX0717135,Canara Bank,Ahmedabad,Gujarat,P000087,,Ibrahim Siddiqui,WALLET,2021-04-03,DORMANT,0,LOW
AC000156,610689655326,SBOI0474141,State Bank of India,New Delhi,Delhi,P000088,,Sagar Salunkhe,SAVINGS,2024-08-20,ACTIVE,0,MEDIUM
AC000157,491528932816,YBXX0651773,Yes Bank,Bengaluru,Karnataka,P000089,,Tushar Parmar,SAVINGS,2015-11-18,ACTIVE,0,MEDIUM
AC000158,35276255937,KVBX0651182,Karur Vysya Bank,Bengaluru,Karnataka,P000089,,Tushar Parmar,SAVINGS,2019-07-27,FROZEN,0,LOW
AC000159,031066646518,HBXX0478879,HDFC Bank,New Delhi,Delhi,P000090,,Mangesh Tandel,SAVINGS,2023-12-19,ACTIVE,0,HIGH
AC000160,9579711491794619,IFBX0069239,IDFC First Bank,New Delhi,Delhi,P000090,,Mangesh Tandel,CURRENT,2024-04-19,ACTIVE,0,MEDIUM
AC000161,7942921017274821,BBXX0517507,Bandhan Bank,Kutch,Gujarat,P000091,,Shahnawaz Hussain,CURRENT,2016-09-18,ACTIVE,0,LOW
AC000162,686870375578,ABXX0545765,Axis Bank,Mumbai,Maharashtra,P000092,,Ibrahim Qureshi,SAVINGS,2013-03-31,ACTIVE,1,LOW
AC000163,581738681652,BBXX0235079,Bandhan Bank,Nuh,Haryana,P000093,,Wasim Baig,CURRENT,2024-10-12,ACTIVE,0,LOW
AC000164,21998068496033,IOBX0429950,Indian Overseas Bank,Nuh,Haryana,P000093,,Wasim Baig,SAVINGS,2024-01-28,ACTIVE,0,HIGH
AC000165,1329406357247639,APBX0857268,Airtel Payments Bank,Ferozepur,Punjab,P000094,,Malkiat Grewal,SAVINGS,2025-02-08,ACTIVE,0,LOW
AC000166,51453869016,FBXX0812075,Federal Bank,Srinagar,Jammu and Kashmir,P000095,,Satnam Bains,OVERDRAFT,2025-09-13,ACTIVE,0,LOW
AC000167,93922445565232,APBX0214894,Airtel Payments Bank,Srinagar,Jammu and Kashmir,P000095,,Satnam Bains,SAVINGS,2014-11-20,ACTIVE,0,MEDIUM
AC000168,705487487056,FBXX0623005,Federal Bank,Jalandhar,Punjab,P000096,,Navneet Bajwa,SAVINGS,2020-12-29,ACTIVE,1,MEDIUM
