person_id,full_name,first_name,surname,alias,gender,date_of_birth,age,name_region,native_state,native_city,native_area,home_location_id,based_abroad_in,person_type,role,syndicate_id,syndicate_code,risk_score,influence_score,custody_status,first_offence_year,total_cases,is_cross_syndicate_bridge,is_duplicate_record_of,nic_ref,record_source,source_reliability,info_credibility,is_synthetic
P000015,Swapnil Bhoir,Swapnil,Bhoir,,M,1976-08-26,49,marathi,Delhi,New Delhi,Jamia Nagar,LOC000017,,CRIMINAL,LIEUTENANT,ORG000001,SYN-EXT,81,0.754,ON_BAIL,1999,4,0,,NIC-H3EJOZ9XF,PASSPORT_IMMIGRATION,B,2,1
P000016,Hardik Barot,Hardik,Barot,Ustad,M,1966-11-08,59,gujarati,Karnataka,Mangaluru,Ullal,LOC000101,,CRIMINAL,FIELD_OPERATIVE,ORG000001,SYN-EXT,65,0.235,UNDER_SURVEILLANCE,2003,4,0,,NIC-OE3T0HICC,SOCIAL_MEDIA_INTEL,F,1,1
P000017,Swapnil Tandel,Swapnil,Tandel,,M,1969-07-21,56,marathi,Karnataka,Ballari,Sandur,LOC000103,,CRIMINAL,FIELD_OPERATIVE,ORG000001,SYN-EXT,41,0.26,IN_JUDICIAL_CUSTODY,2016,7,0,,NIC-RCXN22PXG,SEIZURE_MEMO,B,5,1
P000018,Salim Saifi,Salim,Saifi,,M,1973-11-21,52,muslim,Maharashtra,Nagpur,Kamptee,LOC000011,,CRIMINAL,LIEUTENANT,ORG000001,SYN-EXT,91,0.671,AT_LARGE,2015,2,0,,NIC-VPINE9NNO,CRIMINAL_HISTORY_DB,D,4,1
P000019,Bhaskar Bhosale,Bhaskar,Bhosale,Seth,M,2002-01-05,24,marathi,Gujarat,Ahmedabad,Juhapura,LOC000071,,CRIMINAL,MULE,ORG000001,SYN-EXT,15,0.075,ON_BAIL,2019,2,0,,NIC-LQDI07HE4,IPDR,D,3,1
P000020,Nitin Bhoir,Nitin,Bhoir,,M,2001-01-02,25,marathi,Delhi,New Delhi,Paharganj,LOC000022,,CRIMINAL,FIXER,ORG000001,SYN-EXT,70,0.584,IN_JUDICIAL_CUSTODY,2022,4,0,,NIC-G52EFUJEI,SOCIAL_MEDIA_INTEL,C,3,1
P000021,Kishor Makwana,Kishor,Makwana,Chikna,M,1967-11-21,58,gujarati,Karnataka,Bengaluru,KG Halli,LOC000099,,CRIMINAL,LOGISTICS,ORG000001,SYN-EXT,69,0.442,ABSCONDING,2000,6,0,,NIC-O0V3Z0GU1,CRIMINAL_HISTORY_DB,C,2,1
P000022,Nasreen Sheikh,Nasreen,Sheikh,Tinku Nasreen,F,1983-03-18,43,muslim,Karnataka,Bengaluru,KG Halli,LOC000099,,CRIMINAL,FENCE,ORG000001,SYN-EXT,41,0.318,IN_JUDICIAL_CUSTODY,2002,4,0,,NIC-0W1DSTWG6,SURVEILLANCE_REPORT,A,3,1
P000023,Hardik Barot,Hardik,Barot,Sarkar Hardik,M,1995-10-20,30,gujarati,Gujarat,Porbandar,Kutiyana,LOC000074,,CRIMINAL,FIELD_OPERATIVE,ORG000001,SYN-EXT,36,0.229,AT_LARGE,2011,3,0,,NIC-LRTVWALJZ,CDR,A,3,1
P000024,Bharat Gohil,Bharat,Gohil,,M,1983-05-24,43,gujarati,Delhi,New Delhi,Jamia Nagar,LOC000017,,CRIMINAL,MULE,ORG000001,SYN-EXT,25,0.082,ABSCONDING,2005,4,0,,NIC-FDJKDFR21,IPDR,C,2,1
P000025,Ganesh Chavan,Ganesh,Chavan,Bhai Ganesh,M,2002-05-02,24,marathi,Karnataka,Ballari,Sandur,LOC000103,,CRIMINAL,MULE,ORG000001,SYN-EXT,22,0.071,ON_BAIL,2021,5,0,,NIC-NIQSUHA51,BANK_STATEMENT,A,3,1
P000026,Hitesh Trivedi,Hitesh,Trivedi,Sarkar Hitesh,M,1961-08-03,64,gujarati,Maharashtra,Thane,Mumbra,LOC000007,,CRIMINAL,MULE,ORG000001,SYN-EXT,25,0.084,IN_JUDICIAL_CUSTODY,2014,3,0,,NIC-SHZBUK3XF,INTELLIGENCE_REPORT,D,2,1
P000027,Vishal Gaikwad,Vishal,Gaikwad,Vishal Chacha,M,1970-02-17,56,marathi,Gujarat,Kutch,Mundra,LOC000073,,CRIMINAL,FIELD_OPERATIVE,ORG000001,SYN-EXT,42,0.236,ABSCONDING,2010,1,0,,NIC-JPGJQMLJE,BANK_STATEMENT,E,3,1
P000028,Alpesh Thakor,Alpesh,Thakor,Alpesh Master,M,1988-02-16,38,gujarati,Delhi,New Delhi,Jamia Nagar,LOC000017,UAE,CRIMINAL,FINANCIER,ORG000001,SYN-EXT,90,0.635,ABSCONDING,2005,2,0,,NIC-32CDXSEF6,INTELLIGENCE_REPORT,B,3,1
P000029,Ashwin Zala,Ashwin,Zala,,M,1988-02-26,38,gujarati,Gujarat,Ahmedabad,Juhapura,LOC000071,,CRIMINAL,FINANCIER,ORG000001,SYN-EXT,75,0.638,ABSCONDING,2014,5,0,,NIC-LCP2277KX,CRIMINAL_HISTORY_DB,E,2,1
P000030,Rahul Jadhav,Rahul,Jadhav,Nanha,M,1995-11-13,30,marathi,Delhi,New Delhi,Seelampur,LOC000016,,CRIMINAL,SHOOTER,ORG000001,SYN-EXT,79,0.401,DECLARED_PO,2016,8,0,,NIC-JVFJWTZIF,SOCIAL_MEDIA_INTEL,C,3,1
P000031,Vipul Desai,Vipul,Desai,Vipul Nanha,M,1983-01-12,43,gujarati,Karnataka,Ballari,Sandur,LOC000103,,CRIMINAL,FIELD_OPERATIVE,ORG000001,SYN-EXT,54,0.274,UNDER_SURVEILLANCE,2009,3,0,,NIC-MOIJESG68,CHARGESHEET,D,1,1
P000032,Rasik Joshi,Rasik,Joshi,Rasik Kaka,M,1999-03-24,27,gujarati,Gujarat,Surat,Varachha,LOC000072,,CRIMINAL,LOGISTICS,ORG000001,SYN-EXT,59,0.407,ON_BAIL,2022,1,0,,NIC-2S2O8PT4M,CRIMINAL_HISTORY_DB,C,3,1
P000033,Arif Chaudhary,Arif,Chaudhary,Pappu Arif,M,1972-10-05,53,muslim,Karnataka,Bengaluru,Yeshwanthpur,LOC000100,,CRIMINAL,MULE,ORG000001,SYN-EXT,23,0.082,AT_LARGE,2025,3,0,,NIC-G7HSFKR26,BANK_STATEMENT,D,1,1
P000034,Mohammed Idrisi,Mohammed,Idrisi,,M,1992-06-08,34,muslim,Maharashtra,Thane,Mumbra,LOC000007,,CRIMINAL,FIELD_OPERATIVE,ORG000001,SYN-EXT,59,0.239,IN_JUDICIAL_CUSTODY,2023,5,0,,NIC-BUGVJICS4,CHARGESHEET,D,4,1
P000035,Sachin Bhosale,Sachin,Bhosale,,M,1995-12-20,30,marathi,Gujarat,Surat,Varachha,LOC000072,,CRIMINAL,KINGPIN,ORG000001,SYN-EXT,89,0.906,AT_LARGE,2022,4,0,,NIC-HDP03EH58,FIR,C,3,1
P000036,Shahnaz Alam,Shahnaz,Alam,,F,2002-11-03,23,muslim,Karnataka,Bengaluru,Yeshwanthpur,LOC000100,,CRIMINAL,MULE,ORG000001,SYN-EXT,31,0.068,IN_JUDICIAL_CUSTODY,2018,5,0,,NIC-78669BY4C,SEIZURE_MEMO,B,2,1
P000037,Ganesh Dalvi,Ganesh,Dalvi,,M,1962-06-18,64,marathi,Delhi,New Delhi,Jamia Nagar,LOC000017,,CRIMINAL,FIELD_OPERATIVE,ORG000001,SYN-EXT,56,0.221,UNDER_SURVEILLANCE,2006,6,0,,NIC-34LIE3CSM,FIR,D,4,1
P000038,Tushar Zala,Tushar,Zala,,M,2001-04-10,25,gujarati,Delhi,New Delhi,Chandni Chowk,LOC000015,,CRIMINAL,MULE,ORG000001,SYN-EXT,26,0.067,AT_LARGE,2025,7,0,,NIC-VRHX1Z2YV,BANK_STATEMENT,B,3,1
P000039,Sagar Rane,Sagar,Rane,Sagar Kallu,M,1978-06-04,48,marathi,Gujarat,Rajkot,Gondal,LOC000075,,CRIMINAL,MULE,ORG000001,SYN-EXT,17,0.083,ABSCONDING,1998,6,0,,NIC-1K2W2CW1R,SEIZURE_MEMO,F,5,1
P000040,Shahnawaz Pathan,Shahnawaz,Pathan,Pappu Shahnawaz,M,1998-11-26,27,muslim,Maharashtra,Mumbai,Kurla,LOC000003,UAE,CRIMINAL,FINANCIER,ORG000001,SYN-EXT,67,0.718,EXTRADITION_PENDING,2017,2,0,,NIC-CJ2XX2EI7,CRIMINAL_HISTORY_DB,B,3,1
P000041,Pandurang Bhoir,Pandurang,Bhoir,,M,1967-05-25,59,marathi,Karnataka,Ballari,Sandur,LOC000103,,CRIMINAL,RECRUITER,ORG000001,SYN-EXT,56,0.449,ABSCONDING,2006,5,0,,NIC-S5MHIE2L2,CDR,D,5,1
P000042,Trupti Rabari,Trupti,Rabari,Trupti Kaana,F,2000-03-26,26,gujarati,Delhi,New Delhi,Jamia Nagar,LOC000017,,CRIMINAL,LOGISTICS,ORG000001,SYN-EXT,56,0.497,EXTRADITION_PENDING,2022,3,0,,NIC-P5BX9X39I,INFORMANT_TIP,D,1,1
P000043,Bharat Dave,Bharat,Dave,Chhota Bharat,M,1980-11-03,45,gujarati,Maharashtra,Mumbai,Kurla,LOC000003,,CRIMINAL,FIELD_OPERATIVE,ORG000001,SYN-EXT,63,0.284,AT_LARGE,2018,5,0,,NIC-9LI16DH7J,SOCIAL_MEDIA_INTEL,A,2,1
P000044,Hitesh Solanki,Hitesh,Solanki,Master Hitesh,M,1995-05-05,31,gujarati,Gujarat,Vadodara,Karelibaug,LOC000076,,CRIMINAL,SHOOTER,ORG000001,SYN-EXT,90,0.368,ON_BAIL,2011,4,0,,NIC-JKVCBFCQN,PASSPORT_IMMIGRATION,C,3,1
P000045,Dharmesh Zala,Dharmesh,Zala,,M,1985-05-15,41,gujarati,Gujarat,Vadodara,Karelibaug,LOC000076,,CRIMINAL,COURIER,ORG000001,SYN-EXT,32,0.158,AT_LARGE,2018,1,0,,NIC-043NVJUUW,INTELLIGENCE_REPORT,A,2,1
P000046,Sandip Kamble,Sandip,Kamble,,M,1966-01-10,60,marathi,Gujarat,Surat,Varachha,LOC000072,,CRIMINAL,FIELD_OPERATIVE,ORG000001,SYN-EXT,59,0.243,ON_BAIL,2008,7,0,,NIC-KUUMK5635,SOCIAL_MEDIA_INTEL,B,1,1
P000047,Swapnil Pawar,Swapnil,Pawar,,M,1991-10-27,34,marathi,Maharashtra,Mumbai,Andheri,LOC000005,,CRIMINAL,MULE,ORG000001,SYN-EXT,35,0.074,ON_BAIL,2018,6,0,,NIC-AG1IQXZXC,INTELLIGENCE_REPORT,A,3,1
P000048,Tanaji Tandel,Tanaji,Tandel,,M,1968-02-13,58,marathi,Delhi,New Delhi,Seelampur,LOC000016,,CRIMINAL,FIELD_OPERATIVE,ORG000001,SYN-EXT,58,0.236,ON_BAIL,2012,4,0,,NIC-XJM6Z6CCC,BANK_STATEMENT,C,4,1
P000049,Bhavesh Thakor,Bhavesh,Thakor,Master Bhavesh,M,1985-10-24,40,gujarati,Delhi,New Delhi,Jamia Nagar,LOC000017,,CRIMINAL,MULE,ORG000001,SYN-EXT,24,0.081,ON_BAIL,2025,1,0,,NIC-T4BXVH0TB,INFORMANT_TIP,B,5,1
P000050,Pandurang Deshmukh,Pandurang,Deshmukh,Pandurang Chikna,M,2003-04-02,23,marathi,Karnataka,Bengaluru,Yeshwanthpur,LOC000100,,CRIMINAL,FIELD_OPERATIVE,ORG000001,SYN-EXT,42,0.219,IN_JUDICIAL_CUSTODY,2022,2,0,,NIC-N064DI7N9,CRIMINAL_HISTORY_DB,F,2,1
P000051,Bhaskar Gaikwad,Bhaskar,Gaikwad,Bhaskar Lambu,M,1999-08-07,26,marathi,Delhi,New Delhi,Najafgarh,LOC000019,,CRIMINAL,FINANCIER,ORG000001,SYN-EXT,73,0.823,DECLARED_PO,2021,1,0,,NIC-N5U4W9RSH,INFORMANT_TIP,C,2,1
P000052,Vishal Jadhav,Vishal,Jadhav,,M,2001-05-24,25,marathi,Delhi,New Delhi,Paharganj,LOC000022,,CRIMINAL,FINANCIER,ORG000001,SYN-EXT,71,0.688,ABSCONDING,2022,5,0,,NIC-9RIGPPD7O,SEIZURE_MEMO,B,1,1
P000053,Mangesh Shinde,Mangesh,Shinde,,M,2001-08-16,24,marathi,Gujarat,Porbandar,Kutiyana,LOC000074,,CRIMINAL,FIELD_OPERATIVE,ORG000001,SYN-EXT,47,0.231,AT_LARGE,2024,2,0,,NIC-SDFO8CL0L,FIR,F,2,1
P000054,Dharmesh Shah,Dharmesh,Shah,Ustad,M,1996-10-04,29,gujarati,Maharashtra,Mumbai,Andheri,LOC000005,,CRIMINAL,FIELD_OPERATIVE,ORG000001,SYN-EXT,56,0.252,IN_JUDICIAL_CUSTODY,2023,4,0,,NIC-I63RMHVK3,SEIZURE_MEMO,B,2,1
P000055,Ibrahim Mirza,Ibrahim,Mirza,Ibrahim Baba,M,2000-07-27,25,muslim,Gujarat,Rajkot,Gondal,LOC000075,,CRIMINAL,SHOOTER,ORG000001,SYN-EXT,83,0.299,ABSCONDING,2025,2,0,,NIC-I4UPAQYP2,PASSPORT_IMMIGRATION,B,2,1
P000056,Swapnil Salunkhe,Swapnil,Salunkhe,Lambu,M,1967-08-10,58,marathi,Maharashtra,Nagpur,Kamptee,LOC000011,UAE,CRIMINAL,FINANCIER,ORG000001,SYN-EXT,87,0.714,ABSCONDING,2022,3,0,,NIC-OOI4J3X09,IPDR,D,4,1
P000057,Sagar Bhoir,Sagar,Bhoir,Master Sagar,M,1983-02-19,43,marathi,Karnataka,Ballari,Sandur,LOC000103,,CRIMINAL,FIELD_OPERATIVE,ORG000001,SYN-EXT,42,0.223,ON_BAIL,2000,6,0,,NIC-8JKU72HN5,CDR,D,2,1
P000058,Alpesh Shah,Alpesh,Shah,,M,1961-07-09,64,gujarati,Karnataka,Mangaluru,Ullal,LOC000101,,CRIMINAL,FIELD_OPERATIVE,ORG000001,SYN-EXT,35,0.257,ON_BAIL,2020,7,0,,NIC-C1WE8DE4C,SOCIAL_MEDIA_INTEL,B,4,1
P000059,Bharat Bhatt,Bharat,Bhatt,,M,1984-07-03,41,gujarati,Karnataka,Kalaburagi,Afzalpur,LOC000102,,CRIMINAL,MULE,ORG000001,SYN-EXT,36,0.091,ABSCONDING,2014,6,0,,NIC-IWHL8Z7IO,FIR,D,6,1
P000060,Rasik Vaghela,Rasik,Vaghela,,M,1982-03-09,44,gujarati,Gujarat,Porbandar,Kutiyana,LOC000074,,CRIMINAL,FIXER,ORG000001,SYN-EXT,61,0.649,AT_LARGE,1999,5,0,,NIC-HC0BPNEGC,IPDR,C,3,1
P000061,Amol Tandel,Amol,Tandel,,M,1968-09-10,57,marathi,Gujarat,Ahmedabad,Juhapura,LOC000071,,CRIMINAL,FIELD_OPERATIVE,ORG000001,SYN-EXT,49,0.271,ABSCONDING,2024,4,0,,NIC-UUPTJ7O0T,SOCIAL_MEDIA_INTEL,A,5,1
P000062,Dattatray Tandel,Dattatray,Tandel,,M,1982-11-22,43,marathi,Karnataka,Bengaluru,KG Halli,LOC000099,,CRIMINAL,FIELD_OPERATIVE,ORG000001,SYN-EXT,59,0.234,ON_BAIL,2023,7,0,,NIC-00JTYL84P,SURVEILLANCE_REPORT,B,3,1
P000063,Dattatray Tandel,Dattatray,Tandel,,M,1975-05-07,51,marathi,Gujarat,Porbandar,Kutiyana,LOC000074,,CRIMINAL,LOGISTICS,ORG000001,SYN-EXT,55,0.518,ON_BAIL,2017,3,0,,NIC-XF8MDRYCE,SURVEILLANCE_REPORT,D,3,1
P000064,Rafiq Ahmed,Rafiq,Ahmed,,M,1972-12-04,53,muslim,Maharashtra,Mumbai,Bhendi Bazaar,LOC000004,,CRIMINAL,RECRUITER,ORG000001,SYN-EXT,71,0.496,ON_BAIL,2007,5,0,,NIC-PNZP9USY3,TOWER_DUMP,C,2,1
P000065,Shahnawaz Mansuri,Shahnawaz,Mansuri,Shahnawaz Chhota,M,1983-06-14,43,muslim,Delhi,New Delhi,Karol Bagh,LOC000018,,CRIMINAL,MULE,ORG000001,SYN-EXT,16,0.066,AT_LARGE,2009,3,0,,NIC-90SJMVOYP,IPDR,C,5,1
P000066,Ashfaq Mansuri,Ashfaq,Mansuri,Ashfaq Tempo,M,1982-03-05,44,muslim,Karnataka,Bengaluru,Yeshwanthpur,LOC000100,,CRIMINAL,LOGISTICS,ORG000001,SYN-EXT,68,0.457,ON_BAIL,2014,6,0,,NIC-D7CEDA0IO,CDR,C,1,1
P000067,Pandurang Mhatre,Pandurang,Mhatre,Ustad Pandurang,M,1994-09-14,31,marathi,Maharashtra,Mumbai,Dongri,LOC000001,,CRIMINAL,MULE,ORG000001,SYN-EXT,15,0.094,AT_LARGE,2021,3,0,,NIC-B61LGG7JP,SURVEILLANCE_REPORT,C,2,1
P000068,Reshma Saifi,Reshma,Saifi,,F,1974-05-22,52,muslim,Gujarat,Vadodara,Karelibaug,LOC000076,,CRIMINAL,COURIER,ORG000001,SYN-EXT,32,0.203,ON_BAIL,2009,6,0,,NIC-CFZYY94DA,CHARGESHEET,A,3,1
P000069,Sarfaraz Qureshi,Sarfaraz,Qureshi,Baba,M,1973-12-19,52,muslim,Maharashtra,Mumbai,Bhendi Bazaar,LOC000004,,CRIMINAL,FIXER,ORG000001,SYN-EXT,70,0.692,UNDER_SURVEILLANCE,2022,2,0,,NIC-8CLUBNJZE,SOCIAL_MEDIA_INTEL,A,2,1
P000070,Ashwin Trivedi,Ashwin,Trivedi,Ashwin Cheetah,M,1965-09-24,60,gujarati,Gujarat,Vadodara,Karelibaug,LOC000076,,CRIMINAL,LOGISTICS,ORG000001,SYN-EXT,56,0.381,IN_JUDICIAL_CUSTODY,2017,2,0,,NIC-ZUBR25OW9,INTELLIGENCE_REPORT,B,3,1
P000071,Chirag Desai,Chirag,Desai,,M,1969-07-23,56,gujarati,Maharashtra,Mumbai,Andheri,LOC000005,,CRIMINAL,MULE,ORG000001,SYN-EXT,40,0.087,ON_BAIL,2010,3,0,,NIC-UXGFAT2XR,CDR,A,2,1
P000072,Jayesh Desai,Jayesh,Desai,,M,1998-10-26,27,gujarati,Delhi,New Delhi,Seelampur,LOC000016,,CRIMINAL,MULE,ORG000001,SYN-EXT,25,0.066,AT_LARGE,2016,3,0,,NIC-0YF9P7KYK,BANK_STATEMENT,B,2,1
P000073,Iqbal Mansuri,Iqbal,Mansuri,Kallu Iqbal,M,1976-04-24,50,muslim,Maharashtra,Mumbai,Malad,LOC000006,,CRIMINAL,COURIER,ORG000001,SYN-EXT,50,0.155,ON_BAIL,2006,2,0,,NIC-TAZVYV2V1,SEIZURE_MEMO,F,1,1
P000074,Ashwin Parmar,Ashwin,Parmar,Langda Ashwin,M,1978-12-23,47,gujarati,Karnataka,Mangaluru,Ullal,LOC000101,,CRIMINAL,INFORMANT,ORG000001,SYN-EXT,40,0.187,DECLARED_PO,2010,2,0,,NIC-RZXHM8L9B,CHARGESHEET,B,3,1
P000075,Nisha Zala,Nisha,Zala,Nisha Guddu,F,1979-04-09,47,gujarati,Gujarat,Vadodara,Karelibaug,LOC000076,,CRIMINAL,FIXER,ORG000001,SYN-EXT,76,0.508,AT_LARGE,2020,2,0,,NIC-4Z8608CX8,INFORMANT_TIP,C,1,1
P000076,Divyesh Shah,Divyesh,Shah,Master Divyesh,M,1987-02-01,39,gujarati,Karnataka,Mangaluru,Ullal,LOC000101,,CRIMINAL,FIELD_OPERATIVE,ORG000001,SYN-EXT,41,0.255,AT_LARGE,2005,4,0,,NIC-O2XZ36JWB,IPDR,A,2,1
P000077,Dharmesh Thakor,Dharmesh,Thakor,Kallu Dharmesh,M,1993-08-12,32,gujarati,Karnataka,Bengaluru,Yeshwanthpur,LOC000100,,CRIMINAL,COURIER,ORG000001,SYN-EXT,45,0.168,UNDER_SURVEILLANCE,2022,4,0,,NIC-TCHBVGKP7,BANK_STATEMENT,C,2,1
P000078,Prashant Deshmukh,Prashant,Deshmukh,Prashant Bhai,M,1961-12-20,64,marathi,Karnataka,Kalaburagi,Afzalpur,LOC000102,,CRIMINAL,INFORMANT,ORG000001,SYN-EXT,26,0.215,ON_BAIL,2011,2,0,,NIC-NREG8LXUM,IPDR,A,3,1
P000079,Rasik Trivedi,Rasik,Trivedi,,M,1982-08-20,43,gujarati,Maharashtra,Mumbai,Malad,LOC000006,,CRIMINAL,FIELD_OPERATIVE,ORG000001,SYN-EXT,46,0.269,ON_BAIL,2011,9,0,,NIC-TFIUHPTHL,CRIMINAL_HISTORY_DB,C,3,1
P000080,Kalpesh Zala,Kalpesh,Zala,Nanha,M,1970-08-10,55,gujarati,Gujarat,Rajkot,Gondal,LOC000075,UAE,CRIMINAL,FINANCIER,ORG000001,SYN-EXT,79,0.618,DECLARED_PO,1998,6,0,,NIC-IMY965050,CHARGESHEET,D,3,1
P000081,Sandip Salunkhe,Sandip,Salunkhe,Sandip Pehalwan,M,1989-10-24,36,marathi,Delhi,New Delhi,Jamia Nagar,LOC000017,,CRIMINAL,KINGPIN,ORG000001,SYN-EXT,95,0.916,UNDER_SURVEILLANCE,2014,3,0,,NIC-8X8C28N1G,CHARGESHEET,D,4,1
P000082,Swapnil Jadhav,Swapnil,Jadhav,Raja Swapnil,M,1975-04-26,51,marathi,Karnataka,Bengaluru,KG Halli,LOC000099,,CRIMINAL,HAWALA_OPERATOR,ORG000001,SYN-EXT,82,0.701,AT_LARGE,2014,3,0,,NIC-INNDW8R8K,CRIMINAL_HISTORY_DB,F,2,1
P000083,Mitesh Joshi,Mitesh,Joshi,Cheetah Mitesh,M,1977-11-05,48,gujarati,Karnataka,Bengaluru,KG Halli,LOC000099,,CRIMINAL,FIELD_OPERATIVE,ORG000001,SYN-EXT,43,0.227,UNDER_SURVEILLANCE,2025,9,0,,NIC-Z5JR0Y2EF,INTELLIGENCE_REPORT,C,2,1
P000084,Rafiq Farooqui,Rafiq,Farooqui,,M,1965-12-15,60,muslim,Maharashtra,Solapur,Barshi,LOC000014,,CRIMINAL,RECRUITER,ORG000001,SYN-EXT,68,0.474,UNDER_SURVEILLANCE,2014,5,0,,NIC-E8ZN1N5RU,SOCIAL_MEDIA_INTEL,B,3,1
P000085,Ibrahim Ansari,Ibrahim,Ansari,,M,2000-08-01,25,muslim,Maharashtra,Mumbai,Dharavi,LOC000002,,CRIMINAL,FIELD_OPERATIVE,ORG000001,SYN-EXT,42,0.219,AT_LARGE,2018,6,0,,NIC-3A1MITKRF,SEIZURE_MEMO,B,1,1
P000086,Chirag Dave,Chirag,Dave,Master Chirag,M,1966-01-07,60,gujarati,Maharashtra,Nashik,Panchavati,LOC000012,,CRIMINAL,FIXER,ORG000001,SYN-EXT,70,0.639,IN_JUDICIAL_CUSTODY,1999,3,0,,NIC-AAVH1I4EO,INTELLIGENCE_REPORT,A,4,1
P000087,Ibrahim Siddiqui,Ibrahim,Siddiqui,,M,1993-10-01,32,muslim,Gujarat,Ahmedabad,Juhapura,LOC000071,,CRIMINAL,LOGISTICS,ORG000001,SYN-EXT,64,0.44,IN_JUDICIAL_CUSTODY,2022,3,0,,NIC-NJ02NFGIH,INFORMANT_TIP,C,2,1
