person_id,name,syndicate_id,syndicate_code,role
P000211,Imran Baig,ORG000003,SYN-CYB,TECH_HANDLER
P000212,Mousumi Sen,ORG000003,SYN-CYB,LOGISTICS
P000213,Ajay Tiwari,ORG000003,SYN-CYB,MULE
P000214,Subhas Dutta,ORG000003,SYN-CYB,MULE
P000215,Udaiveer Yadav,ORG000003,SYN-CYB,MULE
P000216,Firoz Ahmed,ORG000003,SYN-CYB,RECRUITER
P000217,Vinod Sharma,ORG000003,SYN-CYB,MULE
P000218,Haroon Baig,ORG000003,SYN-CYB,TECH_HANDLER
P000219,Jagdish Tomar,ORG000003,SYN-CYB,LIEUTENANT
P000220,Yogendra Gupta,ORG000003,SYN-CYB,MULE
P000221,Triloki Solanki,ORG000003,SYN-CYB,MULE
P000222,Prakash Srivastava,ORG000003,SYN-CYB,COURIER
P000223,Har Prasad Yadav,ORG000003,SYN-CYB,TECH_HANDLER
P000224,Sunil Bhardwaj,ORG000003,SYN-CYB,FIELD_OPERATIVE
P000225,Arindam Gayen,ORG000003,SYN-CYB,COURIER
P000226,Debashish Roy,ORG000003,SYN-CYB,MULE
P000227,Pradip Biswas,ORG000003,SYN-CYB,RECRUITER
P000228,Rupa Roy,ORG000003,SYN-CYB,INFORMANT
P000229,Abdul Sheikh,ORG000003,SYN-CYB,LIEUTENANT
P000230,Tapan Sarkar,ORG000003,SYN-CYB,MULE
P000231,Swapan Bose,ORG000003,SYN-CYB,TECH_HANDLER
P000232,Netrapal Singh,ORG000003,SYN-CYB,TECH_HANDLER
P000233,Naseer Saifi,ORG000003,SYN-CYB,FIELD_OPERATIVE
P000234,Faizan Shaikh,ORG000003,SYN-CYB,FIELD_OPERATIVE
P000235,Dinesh Baghel,ORG000003,SYN-CYB,MULE
P000236,Shyamlal Rajput,ORG000003,SYN-CYB,MULE
P000237,Tapan Sardar,ORG000003,SYN-CYB,MULE
P000238,Girdhari Baghel,ORG000003,SYN-CYB,COURIER
P000239,Kuldeep Rathore,ORG000003,SYN-CYB,MULE
P000240,Javed Ansari,ORG000003,SYN-CYB,MULE
P000241,Shakeel Zaidi,ORG000003,SYN-CYB,FIELD_OPERATIVE
P000242,Pradeep Maurya,ORG000003,SYN-CYB,RECRUITER
P000243,Reshma Hussain,ORG000003,SYN-CYB,LIEUTENANT
P000244,Altaf Baig,ORG000003,SYN-CYB,TECH_HANDLER
P000245,Kartik Adhikari,ORG000003,SYN-CYB,TECH_HANDLER
P000246,Sunil Sharma,ORG000003,SYN-CYB,RECRUITER
P000247,Deepak Nagar,ORG000003,SYN-CYB,FIELD_OPERATIVE
P000248,Afsana Ansari,ORG000003,SYN-CYB,TECH_HANDLER
P000249,Firoz Sheikh,ORG000003,SYN-CYB,MULE
P000250,Palash Ghosh,ORG000003,SYN-CYB,FIELD_OPERATIVE
P000251,Javed Chaudhary,ORG000003,SYN-CYB,MULE
P000252,Anil Yadav,ORG000003,SYN-CYB,FENCE
P000253,Ibrahim Shaikh,ORG000003,SYN-CYB,HAWALA_OPERATOR
P000254,Wasim Sheikh,ORG000003,SYN-CYB,FIELD_OPERATIVE
P000255,Lekhraj Dixit,ORG000003,SYN-CYB,TECH_HANDLER
P000256,Mahesh Verma,ORG000003,SYN-CYB,FENCE
P000257,Sarfaraz Zaidi,ORG000003,SYN-CYB,LIEUTENANT
P000258,Subhas Roy,ORG000003,SYN-CYB,TECH_HANDLER
P000259,Rizwan Baig,ORG000003,SYN-CYB,TECH_HANDLER
P000260,Gautam Adhikari,ORG000003,SYN-CYB,FIELD_OPERATIVE
P000261,Sunil Shukla,ORG000003,SYN-CYB,TECH_HANDLER
P000262,Ibrahim Ansari,ORG000003,SYN-CYB,COURIER
P000263,Palash Sen,ORG000003,SYN-CYB,FIELD_OPERATIVE
P000264,Girdhari Prajapati,ORG000003,SYN-CYB,MULE
P000265,Mushtaq Siddiqui,ORG000003,SYN-CYB,INFORMANT
P000266,Nepal Adhikari,ORG000003,SYN-CYB,RECRUITER
P000267,Sanjib Dutta,ORG000003,SYN-CYB,FIELD_OPERATIVE
P000268,Deepak Sengar,ORG000003,SYN-CYB,LIEUTENANT
P000269,Sajid Farooqui,ORG000003,SYN-CYB,LOGISTICS
P000270,Bhupendra Awasthi,ORG000003,SYN-CYB,MULE
P000271,Ranjan Gayen,ORG000003,SYN-CYB,FIELD_OPERATIVE
P000272,Abdul Saifi,ORG000003,SYN-CYB,RECRUITER
P000273,Sukumar Chakraborty,ORG000003,SYN-CYB,MULE
P000274,Anwar Sheikh,ORG000003,SYN-CYB,MULE
P000275,Arif Shaikh,ORG000003,SYN-CYB,MULE
P000276,Sunil Rajput,ORG000003,SYN-CYB,MULE
P000277,Rupa Naskar,ORG000003,SYN-CYB,FIELD_OPERATIVE
P000278,Ramesh Shukla,ORG000003,SYN-CYB,TECH_HANDLER
P000279,Bhupendra Awasthi,ORG000003,SYN-CYB,FINANCIER
P000280,Ashim Sardar,ORG000003,SYN-CYB,MULE
P000281,Subhas Adhikari,ORG000003,SYN-CYB,FIXER
P000282,Farida Rahman,ORG000003,SYN-CYB,MULE
P000283,Shakeel Sheikh,ORG000003,SYN-CYB,TECH_HANDLER
P000284,Deepak Baghel,ORG000003,SYN-CYB,RECRUITER
P000285,Vijay Dixit,ORG000003,SYN-CYB,FINANCIER
P000286,Gautam Mondal,ORG000003,SYN-CYB,MULE
P000287,Mahesh Maurya,ORG000003,SYN-CYB,FIELD_OPERATIVE
P000288,Gautam Ghosh,ORG000003,SYN-CYB,KINGPIN
P000289,Netrapal Dixit,ORG000003,SYN-CYB,MULE
P000290,Alpesh Shah,ORG000004,SYN-HAW,COURIER
P000291,Manoj Menon,ORG000004,SYN-HAW,FIELD_OPERATIVE
P000292,Wasim Mansuri,ORG000004,SYN-HAW,MULE
P000293,Har Prasad Sharma,ORG000004,SYN-HAW,FIELD_OPERATIVE
P000294,Sarfaraz Pathan,ORG000004,SYN-HAW,RECRUITER
P000295,Imran Saifi,ORG000004,SYN-HAW,LIEUTENANT
P000296,Salim Baig,ORG000004,SYN-HAW,LIEUTENANT
P000297,Divyesh Patel,ORG000004,SYN-HAW,MULE
P000298,Baiju Marar,ORG000004,SYN-HAW,TECH_HANDLER
P000299,Vinayakan Joseph,ORG000004,SYN-HAW,COURIER
P000300,Haroon Idrisi,ORG000004,SYN-HAW,FENCE
P000301,Jayan Joseph,ORG000004,SYN-HAW,FIXER
P000302,Biju Thomas,ORG000004,SYN-HAW,MULE
P000303,Balbir Yadav,ORG000004,SYN-HAW,MULE
P000304,Afsana Malik,ORG000004,SYN-HAW,HAWALA_OPERATOR
P000305,Manoj Chauhan,ORG000004,SYN-HAW,LIEUTENANT
P000306,Nadeem Idrisi,ORG000004,SYN-HAW,FIELD_OPERATIVE
P000307,Ibrahim Idrisi,ORG000004,SYN-HAW,MULE
P000308,Netrapal Singh,ORG000004,SYN-HAW,FIELD_OPERATIVE
P000309,Jignesh Thakor,ORG000004,SYN-HAW,RECRUITER
P000310,Anwar Alam,ORG000004,SYN-HAW,MULE
P000311,Naresh Nagar,ORG000004,SYN-HAW,FIELD_OPERATIVE
P000312,Anoop Kurup,ORG000004,SYN-HAW,HAWALA_OPERATOR
P000313,Sanjay Rathore,ORG000004,SYN-HAW,FIELD_OPERATIVE
P000314,Praveen Kurup,ORG000004,SYN-HAW,HAWALA_OPERATOR
P000315,Paresh Vaghela,ORG000004,SYN-HAW,MULE
P000316,Jitendra Solanki,ORG000004,SYN-HAW,CORRUPT_OFFICIAL
P000317,Nishad Panicker,ORG000004,SYN-HAW,FINANCIER
P000318,Sarfaraz Shaikh,ORG000004,SYN-HAW,LIEUTENANT
P000319,Sarfaraz Baig,ORG000004,SYN-HAW,MULE
P000320,Anoop Mathew,ORG000004,SYN-HAW,FINANCIER
P000321,Vipul Chauhan,ORG000004,SYN-HAW,HAWALA_OPERATOR
P000322,Mushtaq Idrisi,ORG000004,SYN-HAW,FINANCIER
P000323,Wasim Sheikh,ORG000004,SYN-HAW,FIELD_OPERATIVE
P000324,Nilesh Parmar,ORG000004,SYN-HAW,MULE
P000325,Chirag Dave,ORG000004,SYN-HAW,FIELD_OPERATIVE
P000326,Jignesh Patel,ORG000004,SYN-HAW,FINANCIER
P000327,Javed Chaudhary,ORG000004,SYN-HAW,FENCE
P000328,Prakash Awasthi,ORG000004,SYN-HAW,FIELD_OPERATIVE
P000329,Rambabu Yadav,ORG000004,SYN-HAW,FIELD_OPERATIVE
P000330,Wasim Rahman,ORG000004,SYN-HAW,LOGISTICS
P000331,Shakeel Ansari,ORG000004,SYN-HAW,HAWALA_OPERATOR
P000332,Shibu Thomas,ORG000004,SYN-HAW,FINANCIER
P000333,Ketan Dave,ORG000004,SYN-HAW,LOGISTICS
P000334,Sreenivasan Jacob,ORG000004,SYN-HAW,HAWALA_OPERATOR
P000335,Wasim Baig,ORG000004,SYN-HAW,HAWALA_OPERATOR
P000336,Munna Baghel,ORG000004,SYN-HAW,COURIER
P000337,Kalpesh Vaghela,ORG000004,SYN-HAW,CORRUPT_OFFICIAL
P000338,Bharat Rabari,ORG000004,SYN-HAW,LOGISTICS
P000339,Nishad Jacob,ORG000004,SYN-HAW,MULE
P000340,Girdhari Tiwari,ORG000004,SYN-HAW,FIELD_OPERATIVE
P000341,Vipin Panicker,ORG000004,SYN-HAW,FIELD_OPERATIVE
P000342,Rasik Mehta,ORG000004,SYN-HAW,FIELD_OPERATIVE
P000343,Hardik Zala,ORG000004,SYN-HAW,KINGPIN
P000344,Jignesh Dave,ORG000004,SYN-HAW,MULE
P000345,Praveen Jacob,ORG000004,SYN-HAW,RECRUITER
P000346,Rajeevan Marar,ORG000004,SYN-HAW,FIELD_OPERATIVE
P000347,Satish Kushwaha,ORG000004,SYN-HAW,COURIER
P000348,Firoz Mirza,ORG000004,SYN-HAW,FIELD_OPERATIVE
P000349,Rinku Parmar,ORG000004,SYN-HAW,LOGISTICS
P000350,Vipul Chauhan,ORG000004,SYN-HAW,TECH_HANDLER
P000351,Shakeel Mirza,ORG000004,SYN-HAW,FINANCIER
P000352,Ramesh Tiwari,ORG000004,SYN-HAW,FIELD_OPERATIVE
P000353,Ratheesh Menon,ORG000004,SYN-HAW,FIELD_OPERATIVE
P000354,Shailendra Baghel,ORG000004,SYN-HAW,TECH_HANDLER
P000355,Randhir Sharma,ORG000004,SYN-HAW,FIELD_OPERATIVE
P000356,Sudha Kushwaha,ORG000004,SYN-HAW,TECH_HANDLER
P000357,Om Prakash Rajput,ORG000004,SYN-HAW,FIELD_OPERATIVE
P000358,Prakash Rai,ORG000005,SYN-MIN,LOGISTICS
P000359,Shivanna Kamath,ORG000005,SYN-MIN,LIEUTENANT
P000360,Jagdish Singh,ORG000005,SYN-MIN,FIELD_OPERATIVE
P000361,Ramesh Dixit,ORG000005,SYN-MIN,RECRUITER
P000362,Suresh Jaiswal,ORG000005,SYN-MIN,LOGISTICS
P000363,Perumal Kurup,ORG000005,SYN-MIN,FIELD_OPERATIVE
P000364,Jitendra Prajapati,ORG000005,SYN-MIN,COURIER
P000365,Velu Nadar,ORG000005,SYN-MIN,COURIER
P000366,Har Prasad Yadav,ORG000005,SYN-MIN,LOGISTICS
P000367,Ilango Annadurai,ORG000005,SYN-MIN,LOGISTICS
P000368,Dinesh Rathore,ORG000005,SYN-MIN,FINANCIER
P000369,Ravichandran Nadar,ORG000005,SYN-MIN,FIXER
P000370,Yallappa Angadi,ORG000005,SYN-MIN,LIEUTENANT
P000371,Manoj Yadav,ORG000005,SYN-MIN,MULE
P000372,Rajendran Pillai,ORG000005,SYN-MIN,HAWALA_OPERATOR
P000373,Saravanan Mudaliar,ORG000005,SYN-MIN,MULE
P000374,Murugan Annadurai,ORG000005,SYN-MIN,FIELD_OPERATIVE
P000375,Satish Kushwaha,ORG000005,SYN-MIN,MULE
P000376,Hanumanthappa Acharya,ORG000005,SYN-MIN,FIELD_OPERATIVE
P000377,Veeresh Acharya,ORG000005,SYN-MIN,RECRUITER
P000378,Malathi Raja,ORG000005,SYN-MIN,SHOOTER
P000379,Saravanan Naicker,ORG000005,SYN-MIN,TECH_HANDLER
P000380,Rajendran Gounder,ORG000005,SYN-MIN,MULE
P000381,Perumal Subramanian,ORG000005,SYN-MIN,CORRUPT_OFFICIAL
P000382,Mallikarjun Rai,ORG000005,SYN-MIN,MULE
P000383,Balbir Yadav,ORG000005,SYN-MIN,FIELD_OPERATIVE
P000384,Deepak Gupta,ORG000005,SYN-MIN,LIEUTENANT
P000385,Ilango Palanivel,ORG000005,SYN-MIN,MULE
P000386,Thangaraj Naicker,ORG000005,SYN-MIN,FIELD_OPERATIVE
P000387,Selvam Naicker,ORG000005,SYN-MIN,TECH_HANDLER
P000388,Manjunath Hegde,ORG000005,SYN-MIN,FIELD_OPERATIVE
P000389,Shivanna Angadi,ORG000005,SYN-MIN,FENCE
