record_a,name_a,dob_a,record_b,name_b,dob_b,is_same_person,variant_type,shared_signals,shared_phone,correct_action
P000775,Shakeel Idrisi,1975-08-03,P001542,Idrisi Shakeel,1975-08-04,1,NAME_ORDER_SWAPPED,SAME_HOME_LOCATION|DOB_NEAR|SHARED_NEIGHBOURS_3,,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000968,Ganesh Pawar,1991-04-17,P001543,Ganesh,1991-04-17,1,SURNAME_DROPPED,SAME_HOME_LOCATION|DOB_EXACT|SHARED_NEIGHBOURS_2,,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000030,Rahul Jadhav,1995-11-13,P001544,R. Jadhav,1995-11-12,1,INITIAL_ONLY,SAME_HOME_LOCATION|DOB_NEAR|SHARED_NEIGHBOURS_1,,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000755,Nilesh Bhoir,1987-09-04,P001545,N. Bhoir,1987-09-03,1,INITIAL_ONLY,SAME_HOME_LOCATION|DOB_NEAR|SHARED_NEIGHBOURS_1|SHARED_PHONE,7029904057,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000922,Jignesh Parmar,1994-05-22,P001546,J. Parmar,1994-05-21,1,INITIAL_ONLY,SAME_HOME_LOCATION|SAME_ALIAS|DOB_NEAR|SHARED_NEIGHBOURS_2,,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000539,Sandeep Awasthi,1987-05-12,P001547,Sandeep,1987-05-12,1,SURNAME_DROPPED,SAME_HOME_LOCATION|DOB_EXACT|SHARED_NEIGHBOURS_2,,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000607,Udaiveer Prajapati,1989-08-23,P001548,Udaiveer,1988-08-23,1,SURNAME_DROPPED,SAME_HOME_LOCATION|DOB_NEAR|SHARED_NEIGHBOURS_3,,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000241,Shakeel Zaidi,1981-10-24,P001549,Zaidi Shakeel,1981-10-24,1,NAME_ORDER_SWAPPED,SAME_HOME_LOCATION|DOB_EXACT|SHARED_NEIGHBOURS_1,,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000277,Rupa Naskar,1968-12-18,P001550,R. Naskar,1968-12-17,1,INITIAL_ONLY,SAME_HOME_LOCATION|DOB_NEAR|SHARED_NEIGHBOURS_2|SHARED_PHONE,8873145726,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000754,Dharmesh Makwana,2000-10-15,P001551,D. Makwana,2000-10-16,1,INITIAL_ONLY,SAME_HOME_LOCATION|SAME_ALIAS|DOB_NEAR|SHARED_NEIGHBOURS_3,,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000752,Mitesh Shah,1995-06-16,P001552,Shah Mitesh,1995-06-16,1,NAME_ORDER_SWAPPED,SAME_HOME_LOCATION|DOB_EXACT|SHARED_NEIGHBOURS_3,,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000350,Vipul Chauhan,1985-12-12,P001553,Vipul Chouhan,1984-12-12,1,SURNAME_TRANSLITERATION,SAME_HOME_LOCATION|DOB_NEAR|SHARED_NEIGHBOURS_2,,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000392,Palanisamy Raja,1972-09-20,P001554,Raja Palanisamy,1972-09-20,1,NAME_ORDER_SWAPPED,SAME_HOME_LOCATION|DOB_EXACT|SHARED_NEIGHBOURS_1,,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000904,Bhagaban Patra,1995-03-13,P001555,Bhagaban,1994-03-13,1,SURNAME_DROPPED,SAME_HOME_LOCATION|DOB_NEAR|SHARED_NEIGHBOURS_2|SHARED_PHONE,8158254804,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000494,Yogendra Pandey,1986-08-24,P001556,Y. Pandey,1985-08-24,1,INITIAL_ONLY,SAME_HOME_LOCATION|DOB_NEAR|SHARED_NEIGHBOURS_3,,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000333,Ketan Dave,1963-03-02,P001557,Ketan,1963-03-02,1,SURNAME_DROPPED,SAME_HOME_LOCATION|SAME_ALIAS|DOB_EXACT|SHARED_NEIGHBOURS_2,,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000504,Jitendra Solanki,1985-11-27,P001558,J. Solanki,1986-11-27,1,INITIAL_ONLY,SAME_HOME_LOCATION|DOB_NEAR|SHARED_NEIGHBOURS_3,,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000384,Deepak Gupta,1997-08-12,P001559,D. Gupta,1997-08-12,1,INITIAL_ONLY,SAME_HOME_LOCATION|DOB_EXACT|SHARED_NEIGHBOURS_2,,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000403,Saravanan Mudaliar,1983-02-12,P001560,S. Mudaliar,1983-02-12,1,INITIAL_ONLY,SAME_HOME_LOCATION|SAME_ALIAS|DOB_EXACT|SHARED_NEIGHBOURS_3,,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000817,Rachhpal Sandhu,1989-08-22,P001561,Sandhu Rachhpal,1989-08-21,1,NAME_ORDER_SWAPPED,SAME_HOME_LOCATION|SAME_ALIAS|DOB_NEAR|SHARED_NEIGHBOURS_3,,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000470,Girdhari Shukla,1996-09-17,P001562,Shukla Girdhari,1996-09-17,1,NAME_ORDER_SWAPPED,SAME_HOME_LOCATION|DOB_EXACT|SHARED_NEIGHBOURS_1|SHARED_PHONE,8613274807,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000811,Sohan Purohit,1993-04-27,P001563,S. Purohit,1993-04-28,1,INITIAL_ONLY,SAME_HOME_LOCATION|SAME_ALIAS|DOB_NEAR|SHARED_NEIGHBOURS_2|SHARED_PHONE,9529775217,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000612,Sudhakar Prasad,1973-12-06,P001564,S. Prasad,1973-12-07,1,INITIAL_ONLY,SAME_HOME_LOCATION|DOB_NEAR|SHARED_NEIGHBOURS_3|SHARED_PHONE,8803302423,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000344,Jignesh Dave,1981-03-26,P001565,J. Dave,1981-03-25,1,INITIAL_ONLY,SAME_HOME_LOCATION|DOB_NEAR|SHARED_NEIGHBOURS_2|SHARED_PHONE,7639899809,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000459,Gopal Pal,1961-07-19,P001566,G. Pal,1960-07-19,1,INITIAL_ONLY,SAME_HOME_LOCATION|DOB_NEAR|SHARED_NEIGHBOURS_2,,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000162,Amarjit Dhillon,1987-06-01,P001567,A. Dhillon,1987-06-01,1,INITIAL_ONLY,SAME_HOME_LOCATION|DOB_EXACT|SHARED_NEIGHBOURS_2,,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000042,Trupti Rabari,2000-03-26,P001568,T. Rabari,2001-03-26,1,INITIAL_ONLY,SAME_HOME_LOCATION|DOB_NEAR|SHARED_NEIGHBOURS_3|SHARED_PHONE,8761732776,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000654,Manikandan Rajendran,1994-01-04,P001569,Manikandan,1994-01-04,1,SURNAME_DROPPED,SAME_HOME_LOCATION|DOB_EXACT|SHARED_NEIGHBOURS_3|SHARED_PHONE,8616435889,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000716,Vaishnavi Kadam,1978-03-09,P001570,V. Kadam,1977-03-09,1,INITIAL_ONLY,SAME_HOME_LOCATION|DOB_NEAR|SHARED_NEIGHBOURS_3|SHARED_PHONE,8235319095,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000793,Jitendra Baghel,1969-02-12,P001571,Baghel Jitendra,1969-02-12,1,NAME_ORDER_SWAPPED,SAME_HOME_LOCATION|SAME_ALIAS|DOB_EXACT|SHARED_NEIGHBOURS_2,,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000248,Afsana Ansari,1975-08-12,P001572,Afsana,1975-08-12,1,SURNAME_DROPPED,SAME_HOME_LOCATION|DOB_EXACT|SHARED_NEIGHBOURS_3,,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000579,Shanti Kushwaha,1977-06-01,P001573,Kushwaha Shanti,1977-06-01,1,NAME_ORDER_SWAPPED,SAME_HOME_LOCATION|DOB_EXACT|SHARED_NEIGHBOURS_1|SHARED_PHONE,7413826715,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000058,Alpesh Shah,1961-07-09,P001574,Alpesh,1961-07-08,1,SURNAME_DROPPED,SAME_HOME_LOCATION|DOB_NEAR|SHARED_NEIGHBOURS_3,,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000472,Manoj Kashyap,1998-07-27,P001575,Manoj,1998-07-26,1,SURNAME_DROPPED,SAME_HOME_LOCATION|DOB_NEAR|SHARED_NEIGHBOURS_1|SHARED_PHONE,9455827532,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000474,Prakash Singh,2000-07-11,P001576,P. Singh,2000-07-11,1,INITIAL_ONLY,SAME_HOME_LOCATION|DOB_EXACT|SHARED_NEIGHBOURS_3|SHARED_PHONE,7470008676,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000875,Yumnam Rabha,1970-08-14,P001577,Yumnam,1971-08-14,1,SURNAME_DROPPED,SAME_HOME_LOCATION|SAME_ALIAS|DOB_NEAR|SHARED_NEIGHBOURS_3,,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000120,Harbhajan Sekhon,1989-08-26,P001578,H. Sekhon,1989-08-26,1,INITIAL_ONLY,SAME_HOME_LOCATION|DOB_EXACT|SHARED_NEIGHBOURS_1|SHARED_PHONE,8622092521,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000328,Prakash Awasthi,1962-08-20,P001579,Prakash,1962-08-20,1,SURNAME_DROPPED,SAME_HOME_LOCATION|DOB_EXACT|SHARED_NEIGHBOURS_2,,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000829,Devendra Srivastava,2002-04-22,P001580,Devendra,2002-04-22,1,SURNAME_DROPPED,SAME_HOME_LOCATION|SAME_ALIAS|DOB_EXACT|SHARED_NEIGHBOURS_3,,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000617,Chandra Shekar Setty,1988-12-10,P001581,Chandra Shekar,1988-12-10,1,SURNAME_DROPPED,SAME_HOME_LOCATION|DOB_EXACT|SHARED_NEIGHBOURS_2|SHARED_PHONE,7783390887,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000383,Balbir Yadav,1985-01-04,P001582,Yadav Balbir,1984-01-05,1,NAME_ORDER_SWAPPED,SAME_HOME_LOCATION|DOB_NEAR|SHARED_NEIGHBOURS_3,,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000117,Nathu Choudhary,1962-01-05,P001583,Nathu Chaudhary,1963-01-05,1,SURNAME_TRANSLITERATION,SAME_HOME_LOCATION|SAME_ALIAS|DOB_NEAR|SHARED_NEIGHBOURS_3,,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000315,Paresh Vaghela,1971-08-24,P001584,Vaghela Paresh,1971-08-24,1,NAME_ORDER_SWAPPED,SAME_HOME_LOCATION|SAME_ALIAS|DOB_EXACT|SHARED_NEIGHBOURS_1,,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000675,Naresh Shukla,1981-05-23,P001585,Shukla Naresh,1981-05-24,1,NAME_ORDER_SWAPPED,SAME_HOME_LOCATION|DOB_NEAR|SHARED_NEIGHBOURS_2,,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000213,Ajay Tiwari,1994-02-21,P001586,A. Tiwari,1994-02-22,1,INITIAL_ONLY,SAME_HOME_LOCATION|DOB_NEAR|SHARED_NEIGHBOURS_1,,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000175,Rajesh Prajapati,1988-05-21,P001587,Prajapati Rajesh,1987-05-22,1,NAME_ORDER_SWAPPED,SAME_HOME_LOCATION|SAME_ALIAS|DOB_NEAR|SHARED_NEIGHBOURS_1|SHARED_PHONE,9361235879,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000284,Deepak Baghel,1966-10-25,P001588,D. Baghel,1965-10-25,1,INITIAL_ONLY,SAME_HOME_LOCATION|DOB_NEAR|SHARED_NEIGHBOURS_2|SHARED_PHONE,8384116020,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000635,Manikandan Annadurai,1967-09-01,P001589,M. Annadurai,1967-09-02,1,INITIAL_ONLY,SAME_HOME_LOCATION|DOB_NEAR|SHARED_NEIGHBOURS_3,,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000552,Manju Yadav,1987-08-03,P001590,Yadav Manju,1987-08-04,1,NAME_ORDER_SWAPPED,SAME_HOME_LOCATION|DOB_NEAR|SHARED_NEIGHBOURS_1|SHARED_PHONE,7143493502,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000380,Rajendran Gounder,1988-12-11,P001591,Rajendran,1988-12-11,1,SURNAME_DROPPED,SAME_HOME_LOCATION|DOB_EXACT|SHARED_NEIGHBOURS_2|SHARED_PHONE,7024666450,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000488,Aslam Ahmed,1977-07-23,P001592,Ahmed Aslam,1977-07-23,1,NAME_ORDER_SWAPPED,SAME_HOME_LOCATION|SAME_ALIAS|DOB_EXACT|SHARED_NEIGHBOURS_1,,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000420,Shahnawaz Hussain,1995-07-21,P001593,Shahnawaz,1994-07-21,1,SURNAME_DROPPED,SAME_HOME_LOCATION|DOB_NEAR|SHARED_NEIGHBOURS_2,,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000015,Swapnil Bhoir,1976-08-26,P001594,Swapnil,1976-08-26,1,SURNAME_DROPPED,SAME_HOME_LOCATION|DOB_EXACT|SHARED_NEIGHBOURS_1|SHARED_PHONE,8997526158,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000079,Rasik Trivedi,1982-08-20,P001595,R. Trivedi,1982-08-20,1,INITIAL_ONLY,SAME_HOME_LOCATION|DOB_EXACT|SHARED_NEIGHBOURS_2,,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000341,Vipin Panicker,1990-03-08,P001596,Vipin,1989-03-08,1,SURNAME_DROPPED,SAME_HOME_LOCATION|SAME_ALIAS|DOB_NEAR|SHARED_NEIGHBOURS_2|SHARED_PHONE,7583924720,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000467,Firoz Rahman,2002-03-19,P001597,F. Rahman,2002-03-18,1,INITIAL_ONLY,SAME_HOME_LOCATION|DOB_NEAR|SHARED_NEIGHBOURS_2|SHARED_PHONE,8383268862,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000998,Kalpesh Prajapati,1998-05-16,P001598,K. Prajapati,1998-05-16,1,INITIAL_ONLY,SAME_HOME_LOCATION|SAME_ALIAS|DOB_EXACT|SHARED_NEIGHBOURS_1|SHARED_PHONE,9617676345,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000915,Ibrahim Qureshi,2000-07-14,P001599,Ibrahim Kureshi,1999-07-15,1,SURNAME_TRANSLITERATION,SAME_HOME_LOCATION|SAME_ALIAS|DOB_NEAR|SHARED_NEIGHBOURS_2|SHARED_PHONE,7403142217,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
