edge_id,src_person_id,src_name,dst_person_id,dst_name,relation,subtype,since,strength,confidence,source_type,is_verified
E000018,P000002,Shabana Baig,P000012,Vishal Shinde,REPORTS_TO,,2026-04-11,0.64,0.93,INFORMANT_TIP,1
E000019,P000039,Sagar Rane,P000012,Vishal Shinde,REPORTS_TO,,2020-08-14,0.78,0.61,CHARGESHEET,1
E000020,P000064,Rafiq Ahmed,P000012,Vishal Shinde,REPORTS_TO,,2020-03-24,0.69,0.93,FIR,0
E000021,P000012,Vishal Shinde,P000064,Rafiq Ahmed,HANDLER_OF,,2024-08-30,0.61,0.72,CDR,1
E000022,P000038,Tushar Zala,P000012,Vishal Shinde,REPORTS_TO,,2019-06-04,0.61,0.46,FIR,0
E000023,P000019,Bhaskar Bhosale,P000012,Vishal Shinde,REPORTS_TO,,2018-06-22,0.72,0.8,CHARGESHEET,1
E000024,P000048,Tanaji Tandel,P000012,Vishal Shinde,REPORTS_TO,,2020-03-14,0.66,0.83,CRIMINAL_HISTORY_DB,0
E000025,P000071,Chirag Desai,P000012,Vishal Shinde,REPORTS_TO,,2018-10-22,0.55,0.55,SEIZURE_MEMO,1
E000026,P000067,Pandurang Mhatre,P000012,Vishal Shinde,REPORTS_TO,,2024-08-25,0.79,0.76,IPDR,0
E000027,P000061,Amol Tandel,P000012,Vishal Shinde,REPORTS_TO,,2020-02-17,0.81,0.72,SEIZURE_MEMO,1
E000028,P000045,Dharmesh Zala,P000012,Vishal Shinde,REPORTS_TO,,2021-08-12,0.77,0.73,BANK_STATEMENT,1
E000029,P000043,Bharat Dave,P000012,Vishal Shinde,REPORTS_TO,,2021-06-03,0.75,0.88,SURVEILLANCE_REPORT,1
E000030,P000077,Dharmesh Thakor,P000012,Vishal Shinde,REPORTS_TO,,2021-10-28,0.63,0.5,SURVEILLANCE_REPORT,1
E000031,P000022,Nasreen Sheikh,P000012,Vishal Shinde,REPORTS_TO,,2021-01-12,0.74,0.78,PASSPORT_IMMIGRATION,1
E000032,P000012,Vishal Shinde,P000022,Nasreen Sheikh,HANDLER_OF,,2025-11-27,0.46,0.64,TOWER_DUMP,0
E000033,P000024,Bharat Gohil,P000012,Vishal Shinde,REPORTS_TO,,2024-08-24,0.54,0.98,IPDR,1
E000034,P000079,Rasik Trivedi,P000012,Vishal Shinde,REPORTS_TO,,2025-01-10,0.88,0.47,FIR,1
E000035,P000012,Vishal Shinde,P000079,Rasik Trivedi,RECRUITED_BY,,2026-05-16,0.56,0.94,INFORMANT_TIP,0
E000036,P000066,Ashfaq Mansuri,P000084,Rafiq Farooqui,ASSOCIATE_OF,,2020-03-30,0.72,0.89,PASSPORT_IMMIGRATION,0
E000037,P000066,Ashfaq Mansuri,P000077,Dharmesh Thakor,ASSOCIATE_OF,,2025-10-27,0.48,0.56,INTELLIGENCE_REPORT,1
E000038,P000084,Rafiq Farooqui,P000038,Tushar Zala,ASSOCIATE_OF,,2025-12-03,0.45,0.83,SURVEILLANCE_REPORT,0
E000039,P000084,Rafiq Farooqui,P000043,Bharat Dave,ASSOCIATE_OF,,2019-10-28,0.69,0.84,PASSPORT_IMMIGRATION,0
E000040,P000002,Shabana Baig,P000019,Bhaskar Bhosale,ASSOCIATE_OF,,2024-04-15,0.78,0.67,SURVEILLANCE_REPORT,0
E000041,P000002,Shabana Baig,P000048,Tanaji Tandel,ASSOCIATE_OF,,2023-05-10,0.59,0.5,CDR,1
E000042,P000002,Shabana Baig,P000061,Amol Tandel,ASSOCIATE_OF,,2022-04-16,0.35,0.61,SEIZURE_MEMO,0
E000043,P000002,Shabana Baig,P000077,Dharmesh Thakor,ASSOCIATE_OF,,2025-01-14,0.6,0.72,CDR,1
E000044,P000064,Rafiq Ahmed,P000022,Nasreen Sheikh,ASSOCIATE_OF,,2026-01-27,0.52,0.99,CDR,1
E000045,P000038,Tushar Zala,P000019,Bhaskar Bhosale,ASSOCIATE_OF,,2022-10-18,0.65,0.59,SOCIAL_MEDIA_INTEL,0
E000046,P000038,Tushar Zala,P000071,Chirag Desai,ASSOCIATE_OF,,2024-02-02,0.39,0.81,INTELLIGENCE_REPORT,1
E000047,P000038,Tushar Zala,P000067,Pandurang Mhatre,ASSOCIATE_OF,,2025-05-16,0.6,0.98,CRIMINAL_HISTORY_DB,0
E000048,P000067,Pandurang Mhatre,P000079,Rasik Trivedi,ASSOCIATE_OF,,2025-10-08,0.48,0.7,SURVEILLANCE_REPORT,0
E000049,P000022,Nasreen Sheikh,P000079,Rasik Trivedi,ASSOCIATE_OF,,2019-11-12,0.79,0.59,SURVEILLANCE_REPORT,0
E000050,P000024,Bharat Gohil,P000079,Rasik Trivedi,ASSOCIATE_OF,,2023-08-30,0.64,0.91,IPDR,0
E000051,P000086,Chirag Dave,P000013,Mushtaq Baig,REPORTS_TO,,2023-11-10,0.7,0.65,PASSPORT_IMMIGRATION,0
E000052,P000013,Mushtaq Baig,P000086,Chirag Dave,HANDLER_OF,,2019-10-12,0.6,0.73,CHARGESHEET,1
E000053,P000059,Bharat Bhatt,P000013,Mushtaq Baig,REPORTS_TO,,2021-12-06,0.75,0.99,FIR,0
E000054,P000013,Mushtaq Baig,P000059,Bharat Bhatt,RECRUITED_BY,,2019-09-05,0.5,0.56,BANK_STATEMENT,0
E000055,P000033,Arif Chaudhary,P000013,Mushtaq Baig,REPORTS_TO,,2026-04-08,0.51,0.79,TOWER_DUMP,1
E000056,P000013,Mushtaq Baig,P000033,Arif Chaudhary,HANDLER_OF,,2018-01-22,0.62,0.64,SOCIAL_MEDIA_INTEL,0
E000057,P000009,Sandip Rane,P000013,Mushtaq Baig,REPORTS_TO,,2022-09-22,0.75,0.92,SOCIAL_MEDIA_INTEL,0
E000058,P000005,Aslam Ahmed,P000013,Mushtaq Baig,REPORTS_TO,,2024-08-22,0.55,0.91,SOCIAL_MEDIA_INTEL,1
E000059,P000032,Rasik Joshi,P000013,Mushtaq Baig,REPORTS_TO,,2022-07-16,0.78,0.81,INTELLIGENCE_REPORT,1
E000060,P000051,Bhaskar Gaikwad,P000013,Mushtaq Baig,REPORTS_TO,,2018-08-22,0.81,0.47,IPDR,0
E000061,P000036,Shahnaz Alam,P000013,Mushtaq Baig,REPORTS_TO,,2020-06-07,0.57,0.87,IPDR,1
E000062,P000037,Ganesh Dalvi,P000013,Mushtaq Baig,REPORTS_TO,,2018-06-23,0.61,0.98,FIR,0
E000063,P000034,Mohammed Idrisi,P000013,Mushtaq Baig,REPORTS_TO,,2023-02-09,0.85,0.8,CRIMINAL_HISTORY_DB,1
E000064,P000028,Alpesh Thakor,P000013,Mushtaq Baig,REPORTS_TO,,2023-11-15,0.55,0.56,BANK_STATEMENT,1
E000065,P000073,Iqbal Mansuri,P000013,Mushtaq Baig,REPORTS_TO,,2023-12-12,0.67,0.59,SURVEILLANCE_REPORT,1
E000066,P000013,Mushtaq Baig,P000073,Iqbal Mansuri,RECRUITED_BY,,2018-11-28,0.49,0.95,IPDR,1
E000067,P000068,Reshma Saifi,P000013,Mushtaq Baig,REPORTS_TO,,2020-04-05,0.51,0.96,CHARGESHEET,0
E000068,P000013,Mushtaq Baig,P000068,Reshma Saifi,HANDLER_OF,,2022-07-20,0.6,0.86,INTELLIGENCE_REPORT,1
E000069,P000011,Hitesh Zala,P000013,Mushtaq Baig,REPORTS_TO,,2025-07-26,0.77,0.9,SURVEILLANCE_REPORT,0
E000070,P000017,Swapnil Tandel,P000013,Mushtaq Baig,REPORTS_TO,,2019-02-21,0.74,0.87,INTELLIGENCE_REPORT,1
E000071,P000013,Mushtaq Baig,P000017,Swapnil Tandel,RECRUITED_BY,,2021-03-01,0.75,0.76,CDR,1
E000072,P000058,Alpesh Shah,P000013,Mushtaq Baig,REPORTS_TO,,2020-12-06,0.74,0.93,SURVEILLANCE_REPORT,0
E000073,P000076,Divyesh Shah,P000013,Mushtaq Baig,REPORTS_TO,,2024-12-07,0.52,0.48,CDR,0
E000074,P000086,Chirag Dave,P000059,Bharat Bhatt,ASSOCIATE_OF,,2020-11-23,0.3,0.88,BANK_STATEMENT,1
E000075,P000059,Bharat Bhatt,P000009,Sandip Rane,ASSOCIATE_OF,,2026-06-19,0.64,0.83,CRIMINAL_HISTORY_DB,1
E000076,P000033,Arif Chaudhary,P000032,Rasik Joshi,ASSOCIATE_OF,,2019-04-21,0.56,0.58,CRIMINAL_HISTORY_DB,0
E000077,P000033,Arif Chaudhary,P000028,Alpesh Thakor,ASSOCIATE_OF,,2023-04-10,0.56,0.75,CHARGESHEET,0
E000078,P000033,Arif Chaudhary,P000011,Hitesh Zala,ASSOCIATE_OF,,2026-04-06,0.39,0.77,PASSPORT_IMMIGRATION,1
E000079,P000009,Sandip Rane,P000051,Bhaskar Gaikwad,ASSOCIATE_OF,,2018-03-24,0.54,0.89,SOCIAL_MEDIA_INTEL,1
E000080,P000009,Sandip Rane,P000017,Swapnil Tandel,ASSOCIATE_OF,,2023-09-04,0.51,0.48,CDR,0
E000081,P000005,Aslam Ahmed,P000036,Shahnaz Alam,ASSOCIATE_OF,,2023-07-26,0.37,0.7,FIR,1
E000082,P000005,Aslam Ahmed,P000058,Alpesh Shah,ASSOCIATE_OF,,2018-07-23,0.66,0.75,CDR,0
E000083,P000032,Rasik Joshi,P000034,Mohammed Idrisi,ASSOCIATE_OF,,2020-01-22,0.35,0.65,FIR,0
E000084,P000051,Bhaskar Gaikwad,P000028,Alpesh Thakor,ASSOCIATE_OF,,2022-05-28,0.62,0.69,FIR,0
E000085,P000051,Bhaskar Gaikwad,P000017,Swapnil Tandel,ASSOCIATE_OF,,2025-02-22,0.71,0.87,SOCIAL_MEDIA_INTEL,1
E000086,P000036,Shahnaz Alam,P000028,Alpesh Thakor,ASSOCIATE_OF,,2025-10-05,0.44,0.91,INTELLIGENCE_REPORT,0
E000087,P000036,Shahnaz Alam,P000076,Divyesh Shah,ASSOCIATE_OF,,2024-11-29,0.31,0.61,SOCIAL_MEDIA_INTEL,1
E000088,P000037,Ganesh Dalvi,P000073,Iqbal Mansuri,ASSOCIATE_OF,,2021-02-03,0.37,0.59,INFORMANT_TIP,0
E000089,P000034,Mohammed Idrisi,P000076,Divyesh Shah,ASSOCIATE_OF,,2024-05-06,0.7,0.69,SURVEILLANCE_REPORT,0
E000090,P000073,Iqbal Mansuri,P000011,Hitesh Zala,ASSOCIATE_OF,,2025-12-27,0.53,0.91,FIR,0
E000091,P000068,Reshma Saifi,P000017,Swapnil Tandel,ASSOCIATE_OF,,2024-12-07,0.38,0.73,BANK_STATEMENT,0
E000092,P000017,Swapnil Tandel,P000058,Alpesh Shah,ASSOCIATE_OF,,2021-04-05,0.63,0.86,SOCIAL_MEDIA_INTEL,1
E000093,P000069,Sarfaraz Qureshi,P000015,Swapnil Bhoir,REPORTS_TO,,2019-12-01,0.52,0.88,CHARGESHEET,0
E000094,P000026,Hitesh Trivedi,P000015,Swapnil Bhoir,REPORTS_TO,,2021-05-27,0.51,0.59,CRIMINAL_HISTORY_DB,1
E000095,P000014,Jayesh Barot,P000015,Swapnil Bhoir,REPORTS_TO,,2023-03-08,0.59,0.93,PASSPORT_IMMIGRATION,0
E000096,P000029,Ashwin Zala,P000015,Swapnil Bhoir,REPORTS_TO,,2018-01-13,0.58,0.81,SURVEILLANCE_REPORT,1
E000097,P000056,Swapnil Salunkhe,P000015,Swapnil Bhoir,REPORTS_TO,,2022-01-29,0.76,0.57,TOWER_DUMP,0
E000098,P000015,Swapnil Bhoir,P000056,Swapnil Salunkhe,RECRUITED_BY,,2021-03-23,0.71,0.91,IPDR,1
E000099,P000016,Hardik Barot,P000015,Swapnil Bhoir,REPORTS_TO,,2025-08-10,0.82,0.59,SURVEILLANCE_REPORT,0
E000100,P000042,Trupti Rabari,P000015,Swapnil Bhoir,REPORTS_TO,,2022-07-30,0.85,0.95,TOWER_DUMP,1
E000101,P000015,Swapnil Bhoir,P000042,Trupti Rabari,RECRUITED_BY,,2025-09-19,0.4,0.73,FIR,1
E000102,P000031,Vipul Desai,P000015,Swapnil Bhoir,REPORTS_TO,,2021-11-16,0.87,0.87,FIR,1
E000103,P000023,Hardik Barot,P000015,Swapnil Bhoir,REPORTS_TO,,2026-02-19,0.68,0.67,SOCIAL_MEDIA_INTEL,1
E000104,P000021,Kishor Makwana,P000015,Swapnil Bhoir,REPORTS_TO,,2025-08-31,0.57,0.76,FIR,0
E000105,P000054,Dharmesh Shah,P000015,Swapnil Bhoir,REPORTS_TO,,2018-05-11,0.89,0.63,CDR,1
E000106,P000006,Zubair Sheikh,P000015,Swapnil Bhoir,REPORTS_TO,,2026-01-05,0.8,0.46,CDR,0
E000107,P000075,Nisha Zala,P000015,Swapnil Bhoir,REPORTS_TO,,2021-09-25,0.83,0.46,SURVEILLANCE_REPORT,1
E000108,P000015,Swapnil Bhoir,P000075,Nisha Zala,HANDLER_OF,,2022-06-25,0.84,0.61,FIR,1
E000109,P000083,Mitesh Joshi,P000015,Swapnil Bhoir,REPORTS_TO,,2021-04-27,0.77,0.97,SOCIAL_MEDIA_INTEL,0
E000110,P000020,Nitin Bhoir,P000015,Swapnil Bhoir,REPORTS_TO,,2026-05-17,0.82,0.48,INTELLIGENCE_REPORT,1
E000111,P000063,Dattatray Tandel,P000015,Swapnil Bhoir,REPORTS_TO,,2020-07-10,0.57,0.78,IPDR,1
E000112,P000008,Tanveer Idrisi,P000015,Swapnil Bhoir,REPORTS_TO,,2023-12-24,0.87,0.76,INTELLIGENCE_REPORT,0
E000113,P000069,Sarfaraz Qureshi,P000023,Hardik Barot,ASSOCIATE_OF,,2025-11-07,0.72,0.97,CRIMINAL_HISTORY_DB,0
E000114,P000069,Sarfaraz Qureshi,P000021,Kishor Makwana,ASSOCIATE_OF,,2020-03-01,0.71,0.92,INTELLIGENCE_REPORT,1
E000115,P000026,Hitesh Trivedi,P000008,Tanveer Idrisi,ASSOCIATE_OF,,2021-10-13,0.41,0.72,SURVEILLANCE_REPORT,1
E000116,P000014,Jayesh Barot,P000006,Zubair Sheikh,ASSOCIATE_OF,,2024-09-27,0.64,0.67,CHARGESHEET,1
E000117,P000029,Ashwin Zala,P000020,Nitin Bhoir,ASSOCIATE_OF,,2023-09-20,0.47,0.92,PASSPORT_IMMIGRATION,0
E000118,P000056,Swapnil Salunkhe,P000023,Hardik Barot,ASSOCIATE_OF,,2019-04-04,0.8,0.62,CRIMINAL_HISTORY_DB,1
E000119,P000016,Hardik Barot,P000042,Trupti Rabari,ASSOCIATE_OF,,2023-11-23,0.4,0.64,TOWER_DUMP,0
E000120,P000016,Hardik Barot,P000020,Nitin Bhoir,ASSOCIATE_OF,,2022-09-10,0.34,0.64,SOCIAL_MEDIA_INTEL,1
E000121,P000042,Trupti Rabari,P000021,Kishor Makwana,ASSOCIATE_OF,,2023-05-05,0.58,0.98,TOWER_DUMP,1
E000122,P000042,Trupti Rabari,P000006,Zubair Sheikh,ASSOCIATE_OF,,2026-06-17,0.68,0.74,CRIMINAL_HISTORY_DB,1
E000123,P000031,Vipul Desai,P000023,Hardik Barot,ASSOCIATE_OF,,2022-12-23,0.8,0.74,FIR,1
E000124,P000031,Vipul Desai,P000021,Kishor Makwana,ASSOCIATE_OF,,2022-10-15,0.69,0.96,BANK_STATEMENT,0
E000125,P000031,Vipul Desai,P000020,Nitin Bhoir,ASSOCIATE_OF,,2023-01-27,0.6,0.87,PASSPORT_IMMIGRATION,1
E000126,P000021,Kishor Makwana,P000083,Mitesh Joshi,ASSOCIATE_OF,,2022-07-02,0.33,0.98,SEIZURE_MEMO,1
E000127,P000006,Zubair Sheikh,P000020,Nitin Bhoir,ASSOCIATE_OF,,2025-06-19,0.66,0.92,FIR,1
E000128,P000075,Nisha Zala,P000063,Dattatray Tandel,ASSOCIATE_OF,,2026-06-21,0.79,0.49,CRIMINAL_HISTORY_DB,1
E000129,P000087,Ibrahim Siddiqui,P000018,Salim Saifi,REPORTS_TO,,2021-07-07,0.71,0.99,SOCIAL_MEDIA_INTEL,0
E000130,P000085,Ibrahim Ansari,P000018,Salim Saifi,REPORTS_TO,,2018-01-04,0.78,0.91,FIR,0
E000131,P000062,Dattatray Tandel,P000018,Salim Saifi,REPORTS_TO,,2025-02-19,0.52,0.96,FIR,1
E000132,P000070,Ashwin Trivedi,P000018,Salim Saifi,REPORTS_TO,,2024-10-18,0.9,0.5,PASSPORT_IMMIGRATION,0
E000133,P000018,Salim Saifi,P000070,Ashwin Trivedi,RECRUITED_BY,,2026-06-11,0.52,0.81,CDR,0
E000134,P000001,Anwar Ahmed,P000018,Salim Saifi,REPORTS_TO,,2019-02-08,0.75,0.55,CDR,1
E000135,P000018,Salim Saifi,P000001,Anwar Ahmed,RECRUITED_BY,,2025-03-21,0.92,0.78,TOWER_DUMP,1
E000136,P000007,Bhaskar Kamble,P000018,Salim Saifi,REPORTS_TO,,2025-02-07,0.77,0.46,SOCIAL_MEDIA_INTEL,0
E000137,P000030,Rahul Jadhav,P000018,Salim Saifi,REPORTS_TO,,2020-08-02,0.58,0.7,CHARGESHEET,1
E000138,P000065,Shahnawaz Mansuri,P000018,Salim Saifi,REPORTS_TO,,2025-12-16,0.56,0.86,INFORMANT_TIP,1
E000139,P000047,Swapnil Pawar,P000018,Salim Saifi,REPORTS_TO,,2018-05-27,0.66,0.79,CHARGESHEET,0
E000140,P000090,Mangesh Tandel,P000018,Salim Saifi,REPORTS_TO,,2025-01-30,0.66,0.78,SEIZURE_MEMO,1
E000141,P000053,Mangesh Shinde,P000018,Salim Saifi,REPORTS_TO,,2020-02-29,0.68,0.78,IPDR,1
E000142,P000055,Ibrahim Mirza,P000018,Salim Saifi,REPORTS_TO,,2023-04-28,0.75,0.58,SEIZURE_MEMO,1
E000143,P000082,Swapnil Jadhav,P000018,Salim Saifi,REPORTS_TO,,2020-04-01,0.57,0.67,BANK_STATEMENT,0
E000144,P000057,Sagar Bhoir,P000018,Salim Saifi,REPORTS_TO,,2020-02-19,0.63,0.71,CDR,1
E000145,P000041,Pandurang Bhoir,P000018,Salim Saifi,REPORTS_TO,,2021-12-25,0.67,0.72,CDR,1
E000146,P000052,Vishal Jadhav,P000018,Salim Saifi,REPORTS_TO,,2022-04-27,0.72,0.89,CDR,0
E000147,P000003,Dattatray Waghmare,P000018,Salim Saifi,REPORTS_TO,,2023-11-05,0.74,0.51,FIR,1
E000148,P000087,Ibrahim Siddiqui,P000065,Shahnawaz Mansuri,ASSOCIATE_OF,,2025-12-15,0.75,0.93,IPDR,1
E000149,P000087,Ibrahim Siddiqui,P000053,Mangesh Shinde,ASSOCIATE_OF,,2023-10-08,0.76,0.75,SURVEILLANCE_REPORT,0
E000150,P000087,Ibrahim Siddiqui,P000057,Sagar Bhoir,ASSOCIATE_OF,,2023-03-10,0.59,0.66,CHARGESHEET,1
E000151,P000085,Ibrahim Ansari,P000062,Dattatray Tandel,ASSOCIATE_OF,,2021-05-16,0.52,0.64,BANK_STATEMENT,1
E000152,P000085,Ibrahim Ansari,P000001,Anwar Ahmed,ASSOCIATE_OF,,2021-01-27,0.36,0.62,INTELLIGENCE_REPORT,0
E000153,P000062,Dattatray Tandel,P000090,Mangesh Tandel,ASSOCIATE_OF,,2018-01-10,0.5,0.84,BANK_STATEMENT,1
E000154,P000070,Ashwin Trivedi,P000001,Anwar Ahmed,ASSOCIATE_OF,,2022-09-23,0.73,0.86,CHARGESHEET,0
E000155,P000070,Ashwin Trivedi,P000007,Bhaskar Kamble,ASSOCIATE_OF,,2020-06-18,0.72,0.89,SOCIAL_MEDIA_INTEL,0
E000156,P000070,Ashwin Trivedi,P000052,Vishal Jadhav,ASSOCIATE_OF,,2023-10-06,0.37,0.56,CHARGESHEET,1
E000157,P000065,Shahnawaz Mansuri,P000047,Swapnil Pawar,ASSOCIATE_OF,,2022-02-01,0.57,0.58,FIR,0
E000158,P000090,Mangesh Tandel,P000057,Sagar Bhoir,ASSOCIATE_OF,,2020-09-15,0.49,0.95,PASSPORT_IMMIGRATION,1
E000159,P000090,Mangesh Tandel,P000041,Pandurang Bhoir,ASSOCIATE_OF,,2026-03-11,0.75,0.65,PASSPORT_IMMIGRATION,1
E000160,P000090,Mangesh Tandel,P000052,Vishal Jadhav,ASSOCIATE_OF,,2018-03-28,0.67,0.67,CDR,1
E000161,P000090,Mangesh Tandel,P000003,Dattatray Waghmare,ASSOCIATE_OF,,2020-02-06,0.71,0.66,IPDR,1
E000162,P000053,Mangesh Shinde,P000041,Pandurang Bhoir,ASSOCIATE_OF,,2023-10-30,0.57,0.59,IPDR,0
E000163,P000082,Swapnil Jadhav,P000057,Sagar Bhoir,ASSOCIATE_OF,,2022-10-18,0.59,0.86,PASSPORT_IMMIGRATION,1
E000164,P000025,Ganesh Chavan,P000091,Shahnawaz Hussain,REPORTS_TO,,2021-11-28,0.58,0.59,IPDR,1
E000165,P000074,Ashwin Parmar,P000091,Shahnawaz Hussain,REPORTS_TO,,2019-03-21,0.61,0.97,BANK_STATEMENT,0
E000166,P000040,Shahnawaz Pathan,P000091,Shahnawaz Hussain,REPORTS_TO,,2023-02-27,0.65,0.55,SOCIAL_MEDIA_INTEL,1
E000167,P000089,Tushar Parmar,P000091,Shahnawaz Hussain,REPORTS_TO,,2024-03-09,0.53,0.68,CDR,1
E000168,P000091,Shahnawaz Hussain,P000089,Tushar Parmar,HANDLER_OF,,2024-05-14,0.76,0.46,IPDR,1
E000169,P000088,Sagar Salunkhe,P000091,Shahnawaz Hussain,REPORTS_TO,,2025-04-28,0.5,0.85,INTELLIGENCE_REPORT,0
E000170,P000010,Amol Rane,P000091,Shahnawaz Hussain,REPORTS_TO,,2023-05-24,0.78,0.57,SOCIAL_MEDIA_INTEL,0
E000171,P000060,Rasik Vaghela,P000091,Shahnawaz Hussain,REPORTS_TO,,2025-09-06,0.63,0.92,SOCIAL_MEDIA_INTEL,1
E000172,P000004,Nilesh Vaghela,P000091,Shahnawaz Hussain,REPORTS_TO,,2022-08-05,0.7,0.7,INFORMANT_TIP,0
E000173,P000046,Sandip Kamble,P000091,Shahnawaz Hussain,REPORTS_TO,,2026-04-05,0.69,0.58,CDR,1
E000174,P000092,Ibrahim Qureshi,P000091,Shahnawaz Hussain,REPORTS_TO,,2018-02-02,0.69,0.98,SOCIAL_MEDIA_INTEL,0
E000175,P000091,Shahnawaz Hussain,P000092,Ibrahim Qureshi,RECRUITED_BY,,2021-01-09,0.4,0.71,BANK_STATEMENT,1
E000176,P000078,Prashant Deshmukh,P000091,Shahnawaz Hussain,REPORTS_TO,,2018-07-01,0.71,0.94,INTELLIGENCE_REPORT,0
E000177,P000050,Pandurang Deshmukh,P000091,Shahnawaz Hussain,REPORTS_TO,,2021-11-01,0.89,0.66,IPDR,0
E000178,P000091,Shahnawaz Hussain,P000050,Pandurang Deshmukh,HANDLER_OF,,2022-10-29,0.25,0.76,INFORMANT_TIP,1
E000179,P000049,Bhavesh Thakor,P000091,Shahnawaz Hussain,REPORTS_TO,,2018-04-15,0.62,0.64,SEIZURE_MEMO,1
E000180,P000027,Vishal Gaikwad,P000091,Shahnawaz Hussain,REPORTS_TO,,2019-04-27,0.63,0.66,INFORMANT_TIP,1
E000181,P000080,Kalpesh Zala,P000091,Shahnawaz Hussain,REPORTS_TO,,2023-04-15,0.61,0.96,IPDR,1
E000182,P000044,Hitesh Solanki,P000091,Shahnawaz Hussain,REPORTS_TO,,2021-06-18,0.52,0.83,SEIZURE_MEMO,0
E000183,P000072,Jayesh Desai,P000091,Shahnawaz Hussain,REPORTS_TO,,2021-02-06,0.52,0.46,INFORMANT_TIP,1
E000184,P000025,Ganesh Chavan,P000072,Jayesh Desai,ASSOCIATE_OF,,2023-05-11,0.33,0.86,SEIZURE_MEMO,1
E000185,P000074,Ashwin Parmar,P000040,Shahnawaz Pathan,ASSOCIATE_OF,,2022-12-24,0.67,0.69,CHARGESHEET,1
E000186,P000074,Ashwin Parmar,P000004,Nilesh Vaghela,ASSOCIATE_OF,,2021-06-06,0.6,0.73,FIR,1
E000187,P000074,Ashwin Parmar,P000092,Ibrahim Qureshi,ASSOCIATE_OF,,2021-11-13,0.51,0.78,CHARGESHEET,0
E000188,P000040,Shahnawaz Pathan,P000004,Nilesh Vaghela,ASSOCIATE_OF,,2018-07-01,0.69,0.55,CRIMINAL_HISTORY_DB,0
E000189,P000040,Shahnawaz Pathan,P000078,Prashant Deshmukh,ASSOCIATE_OF,,2022-10-21,0.39,0.54,INTELLIGENCE_REPORT,0
E000190,P000040,Shahnawaz Pathan,P000080,Kalpesh Zala,ASSOCIATE_OF,,2022-08-09,0.73,0.76,SURVEILLANCE_REPORT,1
E000191,P000040,Shahnawaz Pathan,P000072,Jayesh Desai,ASSOCIATE_OF,,2019-01-04,0.58,0.48,IPDR,1
E000192,P000089,Tushar Parmar,P000088,Sagar Salunkhe,ASSOCIATE_OF,,2023-12-10,0.74,0.47,CRIMINAL_HISTORY_DB,0
E000193,P000089,Tushar Parmar,P000046,Sandip Kamble,ASSOCIATE_OF,,2021-07-01,0.62,0.9,SEIZURE_MEMO,0
E000194,P000089,Tushar Parmar,P000050,Pandurang Deshmukh,ASSOCIATE_OF,,2025-08-31,0.58,0.47,PASSPORT_IMMIGRATION,0
